td_target,nstep_return,run_0
27.911522,6.2352858,21.75
29.126755,7.450517,21.25
30.143555,8.467317,21.0
30.901752,9.225516,21.375
32.854324,10.958024,22.5
34.287872,12.39157,21.5
13.816737,13.816737,21.375
13.903722,13.903722,19.875
31.260967,9.584729,18.25
32.656227,10.979992,19.25
33.668297,11.992062,19.625
34.476784,12.800548,19.625
26.911312,5.1250424,20.0
28.056116,6.3798785,20.125
28.98692,7.310682,20.75
29.606258,8.040052,20.375
26.678951,4.7826505,22.875
27.59713,5.7008276,23.125
28.423464,6.527163,23.125
29.127708,7.231407,22.625
27.404083,5.6178126,24.75
28.676746,6.890476,24.375
29.510132,7.723861,24.125
30.190292,8.404023,25.0
33.503403,11.497072,19.125
34.831284,12.82495,18.75
35.870655,13.864323,19.875
36.680054,14.67372,18.5
26.05331,4.157008,21.875
27.371262,5.4749603,21.875
28.345509,6.4492083,17.125
29.073109,7.176807,22.375
31.535107,9.8588705,20.75
31.981644,10.305407,21.25
32.332592,10.656356,21.5
32.57612,10.899883,21.5
13.79306,13.79306,21.0
13.518146,13.518146,19.375
13.114869,13.114869,18.625
12.610137,12.610137,20.125
34.957596,13.39139,19.625
35.50765,13.941442,19.0
35.9257,14.359496,15.875
36.33664,14.770432,18.75
30.168234,8.602028,20.5
30.778524,9.212318,20.0
31.453068,9.886861,18.875
32.151352,10.585147,19.0
29.689018,7.9027476,21.0
30.33876,8.55249,20.5
31.001976,9.215706,22.375
31.692644,9.906374,20.875
30.705439,9.0292015,23.75
31.212425,9.536187,24.375
31.817719,10.141481,24.125
11.041279,11.041279,23.5
37.64333,15.636998,19.375
38.46045,16.454117,19.0
17.615246,17.615246,20.25
17.25313,17.25313,18.75
29.652386,7.7560844,22.0
30.098103,8.201801,21.625
30.54422,8.647919,21.5
31.017754,9.121451,21.75
32.781067,11.104829,20.625
32.88674,11.320536,20.875
33.10826,11.542057,21.0
33.29878,11.7325735,20.0
12.05287,12.05287,20.375
11.4524765,11.4524765,14.3125
10.804741,10.804741,14.0625
10.056776,10.056776,19.875
36.700356,15.134151,17.25
37.02581,15.459603,18.5
37.27541,15.709205,15.75
37.710033,16.143827,18.375
32.815983,11.249776,19.75
33.303505,11.737301,19.875
33.728622,12.1624155,18.625
33.99187,12.425664,18.875
32.220623,10.544386,19.75
32.768635,11.092397,21.5
33.049557,11.37332,19.625
33.21253,11.536291,20.25
10.9166355,10.9166355,23.25
10.860251,10.860251,24.0
10.65138,10.65138,22.375
10.553639,10.553639,22.75
16.813005,16.813005,15.625
16.267132,16.267132,17.625
15.651148,15.651148,18.125
14.98007,14.98007,18.375
31.50621,9.609908,21.25
31.799995,10.013724,20.375
31.975874,10.189604,21.0
31.814232,10.027963,21.25
33.458183,11.891979,21.25
33.56285,11.996645,20.5
33.69501,12.128806,21.125
33.81699,12.250783,19.75
9.197222,9.197222,16.125
8.216748,8.216748,18.375
7.1245017,7.1245017,15.125
5.952417,5.952417,17.75
37.932533,16.366327,17.0
38.131798,16.565592,19.75
38.39661,16.830404,16.75
38.718132,17.151924,14.5
34.181023,12.724846,17.25
34.6136,13.047396,17.875
34.929802,13.473627,17.125
35.68311,14.2269335,17.75
33.301495,11.625257,19.375
33.4188,11.742562,19.25
33.495014,11.818777,20.5
33.431793,11.865587,19.625
10.2476015,10.2476015,22.375
9.959161,9.959161,22.75
9.572025,9.572025,22.375
8.97415,8.97415,22.0
14.275277,14.275277,16.625
13.575343,13.575343,16.625
12.750418,12.750418,16.5
11.833729,11.833729,15.0625
31.50803,9.72176,20.875
31.159622,9.483385,21.375
31.054672,9.378434,21.625
31.020466,9.344229,20.875
33.970726,12.404519,19.375
34.130512,12.564307,19.625
34.294495,12.728291,19.5
34.495575,12.929369,20.875
4.252179,4.252179,17.25
2.4700706,2.4700706,13.9375
2.2157924,2.2157924,16.375
2.162795,2.162795,13.5
39.075817,17.509611,15.9375
39.480865,17.914661,16.75
39.63063,18.174456,16.875
39.80125,18.345076,15.0625
36.367035,14.910862,18.0
16.039906,16.039906,18.0
15.617365,15.617365,17.375
15.278658,15.278658,16.875
33.42086,11.854653,19.375
33.484634,11.91843,20.25
33.451874,11.885668,18.625
33.44231,11.876105,18.625
8.2262335,8.2262335,21.75
7.4806347,7.4806347,21.5
6.788243,6.788243,22.125
5.9877505,5.9877505,20.375
10.795883,10.795883,15.8125
9.69123,9.69123,13.8125
8.507191,8.507191,15.3125
7.287079,7.287079,15.3125
30.735415,9.169209,20.625
30.538692,8.9724865,17.25
30.435913,8.869707,21.25
30.31945,8.753244,20.375
34.668564,13.102358,20.0
34.85656,13.400387,17.875
35.1546,13.698423,18.75
35.514885,14.058712,19.375
2.59463,2.59463,15.0625
24.194191,2.4079213,22.625
23.694609,1.9083383,24.0
23.497116,1.7108468,24.375
40.28269,18.826513,16.375
40.603004,19.146832,13.625
41.04789,19.591717,14.875
20.282173,20.282173,14.0625
15.087667,15.087667,15.875
14.893238,14.893238,16.875
14.562137,14.562137,15.375
14.112614,14.112614,16.0
12.204081,12.204081,19.625
11.70288,11.70288,20.5
11.271386,11.271386,18.0
10.896764,10.896764,17.125
4.8989344,4.8989344,21.5
3.7534242,3.7534242,21.25
2.227984,2.227984,20.125
2.0678935,2.0678935,19.375
5.2597675,5.2597675,14.6875
3.178295,3.178295,16.125
3.04153,3.04153,15.8125
2.956698,2.956698,14.5625
30.081589,8.515383,20.0
29.774178,8.207971,20.375
29.313744,7.7475386,20.0
28.723259,7.267083,20.0
35.82774,14.371566,18.875
36.065563,14.609388,18.875
36.283386,14.827213,18.75
36.842503,15.386327,19.375
23.42505,1.6387807,24.25
23.723482,1.9372116,24.0
23.83784,2.0515687,24.125
24.483551,2.6972818,22.5
