td_target,nstep_return,run_0
33.725792,11.82949,20.0
35.062347,13.166048,18.625
36.12807,14.23177,17.875
37.16935,15.38308,19.875
30.821907,8.705542,22.375
31.996017,9.879652,22.625
32.917652,10.801288,22.125
33.513042,11.506709,22.125
30.273903,8.487632,20.5
31.506742,9.720472,21.25
32.440063,10.653795,21.375
33.18583,11.399557,20.25
28.428932,6.4226,26.0
29.594786,7.588453,26.25
30.425467,8.529165,25.75
31.156479,9.260177,26.125
30.127182,8.340912,16.75
31.633167,9.846898,19.375
11.560247,11.560247,18.5
11.693415,11.693415,18.25
30.589512,9.023306,22.625
32.04195,10.365712,21.0
33.011486,11.445279,21.875
33.91883,12.352627,21.25
27.370422,5.474122,24.125
28.54824,6.6519394,23.625
29.464617,7.568315,25.625
30.16963,8.38336,24.5
26.56519,4.8889527,22.125
27.761332,6.085094,22.625
28.64539,6.969153,21.375
29.340446,7.664209,22.125
38.165802,16.379534,19.25
39.040703,17.25443,17.875
18.407084,18.407084,17.25
18.188433,18.188433,19.125
34.106663,12.10033,22.875
34.686104,12.6797695,20.625
35.150154,13.143822,22.0
35.688652,13.68232,21.375
33.702614,12.026378,20.75
34.229443,12.553206,19.875
34.660896,12.984659,20.5
35.03019,13.3539505,19.625
31.729092,9.832789,25.625
32.137024,10.240723,25.25
32.568108,10.671808,25.875
32.972107,11.075805,25.625
11.674058,11.674058,18.125
11.495963,11.495963,17.625
11.267673,11.267673,17.0
10.9585495,10.9585495,17.75
34.627228,13.061023,21.25
35.25842,13.692214,20.5
35.784653,14.218449,20.5
36.0614,14.495196,19.5
9.324848,9.324848,23.75
9.308645,9.308645,24.0
9.235202,9.235202,21.375
9.030576,9.030576,23.0
29.91362,8.237384,22.375
30.223667,8.657462,22.5
29.56672,7.890482,21.0
29.224052,7.6578474,12.1875
17.851774,17.851774,17.75
17.333447,17.333447,17.75
16.70362,16.70362,16.125
15.98634,15.98634,14.6875
36.117855,14.221555,21.125
36.538696,14.642397,21.875
15.406771,15.406771,23.875
14.992043,14.992043,21.25
35.3245,13.648265,19.875
35.436283,13.870078,19.75
35.684742,14.118535,19.75
