td_target,nstep_return,run_0
70.65098,49.304832,73.0
70.63766,49.291515,72.5
70.6114,49.265255,72.5
70.548225,49.20208,72.5
72.25254,51.12646,73.0
72.07289,50.946808,72.5
71.941345,50.81526,72.5
71.8804,50.754322,73.0
72.52114,51.505093,72.5
72.75581,51.73977,72.5
73.095024,51.968945,72.5
73.336266,52.210186,72.0
70.2571,48.91096,73.0
70.04491,48.69876,73.0
69.83003,48.483887,73.0
69.65567,48.309525,72.5
71.588684,50.57264,73.0
71.42397,50.407925,72.5
71.37808,50.252003,73.0
71.134964,50.118916,73.0
71.82424,50.58813,73.0
72.154526,50.918415,73.0
72.45285,51.216736,72.5
72.66608,51.429962,72.5
72.73294,51.49683,70.5
72.990974,51.754864,73.0
73.303535,52.067425,73.0
73.63254,52.39643,72.0
73.63138,52.39527,72.0
73.875046,52.63893,72.5
74.185005,52.948895,72.5
74.51128,53.27517,72.5
70.4444,49.098255,72.5
70.34627,49.000122,73.0
70.25327,48.907127,73.0
70.213936,48.867794,72.5
71.84479,50.71871,73.5
71.91522,50.679108,72.5
71.880226,50.644115,73.0
71.83848,50.602367,73.5
73.498085,52.372005,73.0
73.59367,52.467598,73.5
73.68407,52.55799,73.0
73.80979,52.683712,73.5
69.56771,48.221565,72.0
69.47512,48.12898,73.0
69.50832,48.052147,72.5
69.46562,48.009445,73.0
71.16143,50.03535,73.0
71.13919,50.01311,72.5
71.07326,50.05721,73.0
71.216805,50.200756,73.0
72.79158,51.555466,73.0
72.82762,51.591515,72.5
72.884254,51.53811,73.0
72.793236,51.447094,72.5
74.07662,52.730476,72.5
74.375946,53.029804,72.5
74.639145,53.293,72.5
74.83704,53.4909,72.5
74.773735,53.537624,72.5
75.00868,53.772575,73.0
75.170586,53.824444,73.0
75.17237,53.82623,73.0
70.205345,48.859203,72.5
70.25548,48.909332,72.5
70.30824,48.9621,73.0
70.40263,49.05649,72.5
71.87424,50.52809,73.0
71.818535,50.47239,73.0
71.78157,50.43543,73.0
