td_target,nstep_return,run_0
74.26692,53.030807,74.5
74.48264,53.246532,74.0
74.66231,53.4262,75.0
74.80039,53.56428,74.0
75.67702,54.44091,74.5
75.903984,54.557842,75.0
75.95603,54.60989,74.0
75.93819,54.592045,74.0
74.534775,53.40869,74.0
74.56904,53.44296,74.0
74.59674,53.470665,75.0
74.7599,53.523796,74.0
74.35115,53.115044,74.5
74.48928,53.25317,75.0
74.60144,53.365334,74.0
74.79177,53.445625,74.5
72.99846,51.872375,73.5
73.25781,52.131733,74.0
73.53082,52.40474,74.5
73.75885,52.63277,74.5
75.765495,54.639416,74.0
75.93027,54.804184,74.5
76.230965,54.994854,74.0
76.369705,55.1336,74.5
75.35492,54.118813,74.0
75.32553,54.08942,74.0
75.41886,54.07272,74.0
75.27046,54.03435,74.0
73.938065,52.811985,74.5
74.14667,53.020584,74.0
74.47627,53.240158,74.0
74.20417,52.96806,74.0
74.775986,53.53987,74.5
74.69926,53.463146,74.0
74.62193,53.38582,74.0
74.69735,53.351204,74.0
75.93482,54.588676,75.0
75.895836,54.54969,74.0
75.93024,54.47406,74.0
75.71648,54.37033,74.5
74.83075,53.594635,74.0
74.89064,53.65453,74.0
75.01512,53.779007,73.5
75.20618,53.970062,74.0
74.83438,53.48824,75.0
74.82541,53.479267,74.0
74.793304,53.44716,74.5
74.77605,53.429905,74.5
73.99382,52.86774,74.5
74.36267,53.126556,74.5
74.6588,53.422684,74.0
74.93874,53.702633,74.5
76.43758,55.091434,74.0
76.33494,54.988792,74.5
76.2119,54.865757,74.0
76.05076,54.704617,74.0
75.23552,53.99941,74.0
75.1633,53.927185,74.0
75.08191,53.8458,74.0
74.97664,53.740524,74.0
74.42411,53.188,74.5
74.75121,53.405067,74.5
74.96502,53.618877,74.0
75.12078,53.77464,74.5
74.70454,53.35839,73.5
74.73765,53.391506,74.5
74.76809,53.421944,75.0
74.71427,53.368126,74.5
75.61196,54.26582,74.0
75.4898,54.143658,74.0
75.359344,54.013203,73.5
75.227264,53.88112,74.0
75.409195,54.173088,74.0
75.52313,54.287018,74.0
75.614975,54.37887,74.5
75.677185,54.44107,75.0
74.76888,53.42274,74.0
74.82119,53.475048,74.0
74.95972,53.613575,74.5
75.13959,53.793446,74.5
75.04885,53.81274,75.0
75.127716,53.8916,75.0
75.12789,53.89178,74.5
75.05965,53.823536,74.5
75.873695,54.52755,74.5
75.71644,54.370293,74.5
75.5821,54.23596,74.0
75.48913,54.142982,74.0
74.74123,53.615143,74.0
74.58011,53.454033,75.0
74.4173,53.291218,74.5
74.12364,52.997562,73.5
75.21266,53.86652,74.0
75.19204,53.845898,74.0
75.10331,53.757168,74.5
74.967224,53.62108,74.5
74.48947,53.253365,74.0
74.34367,53.107567,74.5
74.18921,52.9531,73.5
73.961784,52.725674,74.0
75.10161,53.755463,74.5
74.99846,53.652317,74.5
74.93142,53.585274,74.0
74.85382,53.507675,74.0
75.69331,54.457207,74.5
75.79975,54.45361,74.5
75.774734,54.42859,74.5
75.72101,54.374866,74.0
75.328926,53.982784,75.0
75.38316,54.14705,74.0
75.58688,54.24074,74.5
75.74807,54.401928,73.5
74.94446,53.708347,74.0
74.79204,53.55593,74.5
74.65411,53.418007,74.0
74.42259,53.296513,74.0
75.379425,54.033283,75.0
75.264915,53.91877,74.5
75.13948,53.79334,74.5
74.89374,53.657627,74.0
74.00482,52.87874,74.0
74.01982,52.78371,74.0
73.93161,52.6955,74.5
73.79454,52.558426,74.0
74.662704,53.426598,73.5
74.43413,53.198017,74.0
74.195435,52.959328,75.0
73.75777,52.631687,74.0
73.68657,52.450462,73.5
73.377655,52.14155,73.5
73.19294,51.846794,73.5
72.933716,51.58757,74.0
74.91391,53.56777,74.0
74.97717,53.631027,74.0
75.05843,53.71229,74.0
75.17576,53.829617,74.0
75.63533,54.28919,74.5
75.41781,54.071663,74.5
75.19682,53.850677,74.0
74.94158,53.595436,74.0
75.8613,54.515156,74.5
75.95529,54.60915,74.5
75.97531,54.62917,74.5
75.98704,54.640896,74.0
74.28841,53.16233,74.5
74.15082,53.02474,74.0
74.00426,52.878174,74.0
74.01486,52.888786,74.0
74.71832,53.48221,74.0
74.4861,53.24999,74.0
74.28635,53.050236,73.5
74.088196,52.85209,74.0
73.90846,52.672348,74.5
73.98566,52.74955,74.0
74.01897,52.782856,74.0
74.04177,52.80566,74.0
73.44769,52.321617,74.5
73.16719,52.04111,74.0
72.91203,51.785954,74.0
72.725075,51.598995,74.0
73.02533,51.679188,73.5
