sample_idx,prediction,reward,td_target,return
0,-5.656250,4.411709,-0.117500,49.304832
1,-5.656250,4.445804,-0.113625,49.291515
2,-3.187500,4.312979,1.848545,51.126461
3,-3.062500,4.352985,1.655136,50.946808
4,-3.453125,4.728008,2.051811,51.505093
5,-3.187500,4.728008,2.245228,51.739769
6,-5.718750,4.289304,-0.356640,48.910961
7,-5.843750,4.319450,-0.503510,48.698761
8,-4.906250,4.484262,1.311916,50.572639
9,-4.875000,4.516874,1.188461,50.407925
10,-4.031250,4.571429,1.189865,50.588131
11,-3.796875,4.534343,1.592358,50.918415
12,-5.625000,4.427536,-0.167393,49.265255
13,-5.625000,4.452936,-0.223694,49.202080
14,-2.968750,4.390319,1.492645,50.815262
15,-2.921875,4.462307,1.404198,50.754322
16,-2.906250,4.728008,2.495033,51.968945
17,-2.343750,4.728008,2.670944,52.210186
18,-5.937500,4.337791,-0.697754,48.483887
19,-5.968750,4.343353,-0.916817,48.309525
20,-5.000000,4.554566,1.001595,50.252003
21,-5.093750,4.634523,0.871944,50.118916
22,-3.546875,4.534343,1.863171,51.216736
23,-3.187500,4.534343,2.100468,51.429962
24,-5.625000,4.454685,-0.189976,49.098255
25,-5.625000,4.440236,-0.301865,49.000122
26,-2.843750,4.491207,1.392654,50.718712
27,-2.687500,4.513722,1.212074,50.679108
28,-2.062500,4.728008,2.853394,52.372005
29,-2.093750,4.742461,2.928356,52.467598
30,-6.000000,4.335255,-0.977268,48.221565
31,-6.031250,4.335255,-1.066414,48.128979
32,-5.062500,4.702694,0.757435,50.035351
33,-5.000000,4.741244,0.676739,50.013111
34,-2.890625,4.534343,2.198463,51.555466
35,-2.656250,4.534343,2.244827,51.591515
36,-5.656250,4.411240,-0.394859,48.907127
37,-5.687500,4.369368,-0.410122,48.867794
38,-2.593750,4.528175,1.177082,50.644115
39,-2.703125,4.528175,1.159401,50.602367
40,-1.804688,4.747462,3.042816,52.557991
41,-1.437500,4.735207,3.220116,52.683712
42,-6.062500,4.378245,-1.136368,48.052147
43,-6.062500,4.424055,-1.103424,48.009445
44,-4.875000,4.747462,0.631435,50.057209
45,-4.593750,4.791752,0.761230,50.200756
46,-2.453125,4.534343,2.246437,51.538109
47,-2.234375,4.565517,2.052269,51.447094
48,-5.718750,4.369368,-0.415276,48.859203
49,-5.687500,4.419054,-0.237923,48.909332
50,-2.718750,4.577466,1.177967,50.528091
51,-2.937500,4.625995,1.087879,50.472389
52,-1.140625,4.735207,3.300877,52.816051
53,-1.023438,4.735207,3.350071,52.911663
54,-6.062500,4.461748,-1.024124,48.013100
55,-6.125000,4.545431,-0.896786,48.099174
56,-4.500000,4.791752,1.002266,50.386776
57,-4.281250,4.840281,1.290817,50.668449
58,-2.234375,4.565517,1.983978,51.347858
59,-2.078125,4.565517,1.956692,51.265556
60,-5.687500,4.419054,-0.226414,48.962101
61,-5.593750,4.419054,-0.073570,49.056492
62,-3.187500,4.672776,1.126564,50.435429
63,-3.421875,4.714286,1.079052,50.439491
64,-0.839844,4.735207,3.351692,52.966583
65,-0.785156,4.785714,3.524281,53.032578
66,-6.125000,4.622600,-0.537560,48.279602
67,-6.062500,4.690736,-0.301109,48.564190
68,-4.031250,4.887062,1.679455,51.029579
69,-3.781250,4.928571,2.103962,51.430019
70,-2.093750,4.565517,1.896069,51.225563
71,-1.937500,4.565517,1.847095,51.183468
72,-5.593750,4.468345,-0.024078,49.229771
73,-5.468750,4.468345,0.135132,49.378666
74,-3.625000,4.735207,1.083908,50.482174
75,-3.906250,4.735207,1.199478,50.559917
76,-0.746094,4.785714,3.595600,53.048882
77,-0.859375,4.785714,3.674656,53.066044
78,-5.937500,4.741244,-0.167591,48.910892
79,-5.750000,4.789773,0.180119,49.303303
80,-3.468750,4.949492,2.445770,51.861229
81,-3.359375,4.949492,2.880043,52.274868
82,-2.203125,4.565517,1.767624,51.165890
83,-1.789062,4.565517,1.644382,51.094223
84,-5.500000,4.468345,0.463787,49.535397
85,-5.468750,4.419054,0.533989,49.584965
86,-4.843750,4.735207,1.334652,50.677902
87,-4.781250,4.735207,1.506989,50.802097
88,-0.847656,4.785714,3.800774,53.099323
89,-0.738281,4.785714,3.791100,53.134350
90,-5.625000,4.836554,0.689846,49.720192
91,-5.375000,4.878064,1.080929,50.125031
92,-3.078125,5.000000,3.280910,52.699806
93,-2.703125,4.949492,3.750015,53.100140
94,-2.140625,4.565517,1.593010,51.018784
95,-1.734375,4.565517,1.528263,50.971230
96,-5.437500,4.369368,0.503475,49.575085
97,-5.500000,4.319450,0.324032,49.505672
98,-4.562500,4.735207,1.868973,51.129696
99,-4.312500,4.735207,2.123558,51.432423
