sample_idx,prediction,reward,td_target,return
0,12.750000,1.049252,9.494974,6.235286
1,13.500000,1.040184,10.710205,7.450517
2,11.625000,1.912847,13.860109,10.958024
3,11.937500,1.905612,15.321163,12.391570
4,12.687500,1.240294,12.871925,9.584729
5,13.125000,1.188122,14.239680,10.979992
6,11.062500,1.066456,8.247190,5.125042
7,11.500000,1.151086,9.570797,6.379879
8,10.250000,0.995319,7.836029,4.782650
9,10.125000,1.052844,8.767961,5.700828
10,9.562500,1.159228,8.987533,5.617813
11,10.062500,1.119630,10.246442,6.890476
12,14.062500,1.084731,11.713251,8.467317
13,14.500000,1.051142,12.416434,9.225516
14,12.000000,2.470071,13.816737,13.816737
15,12.875000,2.215792,13.903722,13.903722
16,13.750000,1.398971,15.251750,11.992062
17,14.312500,1.485867,16.018974,12.800548
18,11.812500,1.203409,10.501600,7.310682
19,12.375000,1.102639,11.203463,8.040052
20,10.062500,1.137568,9.566788,6.527163
21,10.562500,1.140213,10.312294,7.231407
22,10.562500,1.031804,11.079827,7.723861
23,10.937500,1.099880,11.815004,8.404023
24,15.125000,1.110748,13.008527,9.858871
25,15.625000,1.015173,13.455063,10.305407
26,13.437500,2.162795,13.793060,13.793060
27,12.937500,2.594630,13.518146,13.518146
28,14.812500,1.424905,16.541046,13.391390
29,14.937500,1.638864,17.036081,13.941442
30,12.750000,0.945374,11.737930,8.602028
31,12.750000,0.939091,12.361975,9.212318
32,10.500000,1.137760,11.011143,7.902748
33,10.937500,1.086345,11.660885,8.552490
34,11.312500,1.333763,12.481445,9.029202
35,11.437500,1.333181,13.002185,9.536187
36,15.875000,1.040296,13.792258,10.656356
37,16.250000,0.997440,14.132063,10.899883
38,13.000000,2.407921,13.114869,13.114869
39,12.687500,1.908338,12.610137,12.610137
40,15.250000,1.554733,17.467892,14.359496
41,14.937500,1.716530,17.892582,14.770432
42,12.625000,1.059208,13.146549,9.886861
43,13.312500,1.155154,13.831081,10.585147
44,11.250000,0.995063,12.461639,9.215706
45,11.500000,0.919460,13.152308,9.906374
46,11.875000,1.636839,13.648741,10.141481
47,12.000000,2.227984,11.041279,11.041279
48,16.500000,1.053206,14.323256,11.104829
49,16.500000,1.144292,14.566469,11.320536
50,12.625000,1.710847,12.052870,12.052870
51,12.062500,1.638781,11.452477,11.452477
52,14.812500,1.757845,18.228792,15.134151
53,14.812500,1.766852,18.554243,15.459603
54,13.437500,1.355145,14.454449,11.249776
55,13.437500,1.312119,14.996989,11.737301
56,11.750000,0.927263,13.817828,10.544386
57,11.437500,0.961678,14.379593,11.092397
58,12.125000,2.067894,10.916636,10.916636
59,12.125000,2.103355,10.860251,10.860251
60,16.625000,1.173232,14.746729,11.542057
61,16.500000,1.129228,14.937246,11.732574
62,12.437500,1.937212,10.804741,10.804741
63,12.000000,2.051569,10.056776,10.056776
64,14.625000,1.658615,18.858860,15.709205
65,14.562500,1.769468,19.279730,16.143827
66,13.500000,1.458856,15.422104,12.162416
67,13.375000,1.452776,15.699106,12.425664
68,11.875000,1.015682,14.688024,11.373320
69,11.875000,1.107885,14.892257,11.536291
70,11.812500,1.721405,10.651380,10.651380
71,11.625000,1.534394,10.553639,10.553639
72,16.500000,1.162161,15.082897,11.891979
73,16.750000,1.149291,15.242579,11.996645
74,11.625000,2.697282,9.197222,9.197222
75,11.125000,2.464353,8.216748,8.216748
76,14.312500,1.700724,19.515984,16.366327
77,14.187500,1.591430,19.756510,16.565592
78,13.437500,1.585613,16.067059,12.724846
79,13.375000,1.588782,16.362099,13.047396
80,11.937500,1.166729,14.967468,11.625257
81,11.937500,1.183363,15.153543,11.742562
82,11.750000,2.186774,10.247602,10.247602
83,11.750000,1.750498,9.959161,9.959161
84,16.375000,1.266006,15.388494,12.128806
85,16.250000,1.255443,15.482964,12.250783
86,10.625000,2.332660,7.124502,7.124502
87,10.000000,2.180312,5.952417,5.952417
88,14.187500,1.526881,20.007568,16.830404
89,14.250000,1.545946,20.329088,17.151924
90,13.187500,1.608443,16.760822,13.473627
91,13.312500,2.311582,17.459114,14.226933
92,11.875000,1.132903,15.229759,11.818777
93,11.875000,1.025261,15.290323,11.865587
94,11.312500,1.612429,9.572025,9.572025
95,11.375000,1.595099,8.974150,8.974150
96,16.250000,1.324078,15.691715,12.404519
97,16.000000,1.299073,15.879011,12.564307
98,9.125000,1.929465,4.252179,4.252179
99,8.625000,1.892948,2.470071,2.470071
