sample_idx,prediction,reward,td_target,return
0,1.929688,1.049252,7.122416,6.235286
1,2.578125,1.040184,8.351401,7.450517
2,2.265625,1.912847,11.384397,10.958024
3,3.375000,1.905612,12.819662,12.391570
4,2.234375,1.240294,10.650661,9.584729
5,3.250000,1.188122,12.066555,10.979992
6,0.906250,1.066456,5.915895,5.125042
7,1.398438,1.151086,7.112277,6.379879
8,0.980469,0.995319,5.236531,4.782650
9,1.242188,1.052844,6.199409,5.700828
10,1.078125,1.159228,5.767387,5.617813
11,1.773438,1.119630,7.113978,6.890476
12,4.375000,1.084731,9.347570,8.467317
13,5.500000,1.051142,10.105770,9.225516
14,4.812500,2.470071,13.816737,13.816737
15,6.531250,2.215792,13.903722,13.903722
16,5.218750,1.398971,13.078625,11.992062
17,6.875000,1.485867,13.942126,12.800548
18,2.218750,1.203409,8.077465,7.310682
19,3.031250,1.102639,8.820589,8.040052
20,1.609375,1.137568,6.987921,6.527163
21,2.515625,1.140213,7.740304,7.231407
22,3.109375,1.031804,8.005817,7.723861
23,4.562500,1.099880,8.730680,8.404023
24,6.781250,1.110748,10.780386,9.858871
25,7.250000,1.015173,11.213168,10.305407
26,8.187500,2.162795,13.793060,13.793060
27,8.625000,2.594630,13.518146,13.518146
28,7.750000,1.424905,14.567353,13.391390
29,8.812500,1.638864,15.103651,13.941442
30,3.734375,0.945374,9.458212,8.602028
31,4.093750,0.939091,10.092571,9.212318
32,3.234375,1.137760,8.408206,7.902748
33,3.953125,1.086345,9.082018,8.552490
34,5.562500,1.333763,9.378208,9.029202
35,6.250000,1.333181,9.871440,9.536187
36,9.000000,1.040296,11.564117,10.656356
37,9.250000,0.997440,11.773259,10.899883
38,9.312500,2.407921,13.114869,13.114869
39,9.687500,1.908338,12.610137,12.610137
40,10.000000,1.554733,15.521706,14.359496
41,10.562500,1.716530,16.008289,14.770432
42,4.875000,1.059208,10.773992,9.886861
43,6.031250,1.155154,11.437892,10.585147
44,4.343750,0.995063,9.800249,9.215706
45,4.875000,0.919460,10.442779,9.906374
46,7.156250,1.636839,10.502522,10.141481
47,7.437500,2.227984,11.041279,11.041279
48,9.625000,1.053206,11.926628,11.104829
49,10.187500,1.144292,12.046057,11.320536
50,9.562500,1.710847,12.052870,12.052870
51,9.375000,1.638781,11.452477,11.452477
52,11.000000,1.757845,16.365131,15.134151
53,11.437500,1.766852,16.724968,15.459603
54,6.875000,1.355145,12.085329,11.249776
55,7.656250,1.312119,12.473138,11.737301
56,5.187500,0.927263,11.073914,10.544386
57,5.593750,0.961678,11.645993,11.092397
58,7.593750,2.067894,10.916636,10.916636
59,8.375000,2.103355,10.860251,10.860251
60,10.500000,1.173232,12.301963,11.542057
61,10.812500,1.129228,12.447780,11.732574
62,9.062500,1.937212,10.804741,10.804741
63,8.750000,2.051569,10.056776,10.056776
64,11.687500,1.658615,16.912676,15.709205
65,11.875000,1.769468,17.326668,16.143827
66,7.750000,1.458856,12.960145,12.162416
67,7.937500,1.452776,13.192447,12.425664
68,5.906250,1.015682,11.947547,11.373320
69,6.218750,1.107885,12.069257,11.536291
70,8.250000,1.721405,10.651380,10.651380
71,7.906250,1.534394,10.553639,10.553639
72,11.000000,1.162161,12.648447,11.891979
73,11.250000,1.149291,12.711851,11.996645
74,8.375000,2.697282,9.197222,9.197222
75,7.843750,2.464353,8.216748,8.216748
76,12.187500,1.700724,17.597307,16.366327
77,12.375000,1.591430,17.824080,16.565592
78,8.187500,1.585613,13.457244,12.724846
79,8.500000,1.588782,13.796987,13.047396
80,6.437500,1.166729,12.182292,11.625257
81,6.531250,1.183363,12.333982,11.742562
82,7.750000,2.186774,10.247602,10.247602
83,7.625000,1.750498,9.959161,9.959161
84,11.375000,1.266006,12.809628,12.128806
85,11.437500,1.255443,12.917850,12.250783
86,7.218750,2.332660,7.124502,7.124502
87,6.593750,2.180312,5.952417,5.952417
88,12.625000,1.526881,17.978859,16.830404
89,12.875000,1.545946,18.369150,17.151924
90,9.125000,1.608443,14.126940,13.473627
91,9.375000,2.311582,14.808039,14.226933
92,7.156250,1.132903,12.410197,11.818777
93,7.312500,1.025261,12.419184,11.865587
94,7.250000,1.612429,9.572025,9.572025
95,6.906250,1.595099,8.974150,8.974150
96,11.437500,1.324078,13.078463,12.404519
97,11.562500,1.299073,13.286390,12.564307
98,5.968750,1.929465,4.252179,4.252179
99,5.000000,1.892948,2.470071,2.470071
