true_return,run_0
11.82949,2.578125
13.166048,3.375
8.705542,0.9921875
9.879652,1.4921875
8.487632,2.1875
9.720472,3.28125
4.772303,1.21875
5.9172463,1.6875
8.340912,1.2890625
9.846898,1.3828125
9.023306,1.40625
10.365712,2.078125
14.23177,4.65625
15.38308,5.9375
10.801288,2.21875
11.506709,3.703125
10.653795,5.34375
11.399557,6.96875
6.818539,2.453125
7.4662066,3.53125
11.560247,2.46875
11.693415,3.203125
11.445279,3.03125
12.352627,4.375
16.379534,7.4375
17.25443,8.0625
12.10033,4.78125
12.6797695,5.21875
12.026378,7.53125
12.553206,8.25
7.9388003,3.953125
7.2986283,4.4375
11.674058,3.734375
11.495963,4.5625
13.061023,5.59375
13.692214,5.9375
18.407084,9.375
18.188433,9.625
13.143822,5.5625
13.68232,6.3125
12.984659,9.0
13.3539505,9.3125
7.002071,4.75
6.7582827,5.34375
11.267673,4.71875
10.9585495,5.40625
14.218449,6.5
14.495196,7.5625
17.851774,9.8125
17.333447,10.5
14.221555,6.75
14.642397,7.4375
13.648265,9.5625
13.870078,9.875
6.604441,5.03125
6.5082417,4.84375
10.597659,5.5625
10.247841,5.46875
14.664854,8.1875
14.805146,9.4375
16.70362,10.9375
15.98634,11.0
15.406771,8.0625
14.992043,8.6875
14.118535,9.9375
14.269722,10.0625
6.527548,4.46875
6.608309,4.625
9.930879,4.875
9.519712,4.46875
14.910159,10.1875
14.940176,10.625
15.221447,10.875
14.393665,10.875
14.579574,9.0625
14.16372,9.125
14.463256,10.1875
14.596063,10.5625
6.841818,4.34375
7.016329,4.1875
9.17076,3.96875
8.618435,4.28125
14.896761,10.75
14.760983,10.9375
13.512663,10.375
12.529994,10.125
13.681043,9.25
13.098501,9.1875
14.763398,10.6875
15.294857,10.8125
7.1481133,3.84375
7.2225766,3.34375
7.998881,5.1875
6.502645,5.375
14.59655,11.0625
14.44737,11.1875
11.4409,9.625
10.252211,9.1875
12.50867,8.9375
11.873164,8.5625
