sample_idx,prediction,reward,td_target,return
0,2.500000,1.661139,12.458734,11.829490
1,3.281250,1.701300,13.723083,13.166048
2,1.015625,1.215265,9.104406,8.705542
3,1.562500,1.229164,10.275079,9.879652
4,2.234375,1.207051,8.335479,8.487632
5,3.406250,1.157518,9.629782,9.720472
6,1.250000,0.898749,5.487509,4.772303
7,1.640625,0.933286,6.525859,5.917246
8,1.250000,1.860071,9.076749,8.340912
9,1.546875,1.985281,10.558665,9.846898
10,1.421875,1.438611,9.607849,9.023306
11,2.171875,1.462854,10.762857,10.365712
12,4.718750,1.732522,14.795682,14.231770
13,5.968750,2.268718,15.857591,15.383080
14,2.328125,1.258457,11.215626,10.801288
15,3.843750,1.284446,11.926205,11.506709
16,5.156250,1.229582,10.395908,10.653795
17,6.781250,1.233003,11.278351,11.399557
18,2.484375,0.939154,7.423713,6.818539
19,3.781250,0.872288,8.167659,7.466207
20,2.296875,3.054357,11.560247,11.560247
21,3.156250,2.604972,11.693415,11.693415
22,3.031250,1.439164,11.808040,11.445279
23,4.406250,1.492640,12.172966,12.352627
24,7.375000,2.277005,16.874676,16.379534
25,8.062500,2.225798,17.773643,17.254431
26,4.906250,1.350374,12.588596,12.100330
27,5.281250,1.413061,13.095827,12.679770
28,7.656250,1.362538,12.466504,12.026378
29,8.375000,1.429913,13.543491,12.553206
30,4.218750,0.868629,8.557729,7.938800
31,4.593750,-1.225422,7.962257,7.298628
32,3.765625,2.245835,11.674058,11.674058
33,4.312500,1.704659,11.495963,11.495963
34,5.437500,1.483355,13.495992,13.061023
35,6.000000,1.540988,13.565849,13.692214
36,9.375000,2.947879,18.407084,18.407084
37,9.625000,2.627675,18.188433,18.188433
38,5.625000,1.414974,13.549563,13.143822
39,6.312500,1.854616,14.160270,13.682320
40,9.062500,1.430657,13.644849,12.984659
41,9.312500,1.469157,14.406128,13.353951
42,4.718750,-0.150406,7.689769,7.002071
43,5.218750,0.198352,7.459734,6.758283
44,4.843750,1.473583,11.267673,11.267673
45,5.312500,1.488737,10.958549,10.958549
46,6.406250,1.501771,14.699837,14.218449
47,7.250000,1.060804,14.912972,14.495196
48,9.750000,2.511592,17.851774,17.851774
49,10.437500,2.352439,17.333447,17.333447
50,6.906250,1.941050,14.654804,14.221555
51,7.468750,1.905418,15.055016,14.642397
52,9.562500,1.413728,14.556026,13.648265
53,9.875000,1.385110,14.743454,13.870078
54,4.875000,0.468780,7.292139,6.604441
55,4.718750,0.658571,7.189063,6.508242
56,5.375000,1.539195,10.597659,10.597659
57,5.343750,1.557873,10.247841,10.247841
58,8.250000,0.954784,15.166874,14.664854
59,9.562500,0.976038,15.279657,14.805146
60,10.937500,1.985381,16.703621,16.703621
61,11.000000,1.866131,15.986340,15.986340
62,8.125000,2.440687,15.406771,15.406771
63,8.750000,2.220593,14.992043,14.992043
64,10.000000,1.415778,14.768410,14.118535
65,10.062500,1.384712,14.960858,14.269722
66,4.718750,0.823073,7.177423,6.527548
67,4.562500,0.934621,7.251307,6.608309
68,4.750000,1.670669,9.930879,9.930879
69,4.656250,1.741276,9.519712,9.519712
70,10.062500,0.995114,15.064891,14.910159
71,10.562500,1.020608,15.483458,14.940176
72,10.937500,2.422961,15.221447,15.221447
73,10.750000,2.975528,14.393665,14.393665
74,9.062500,1.571909,14.579574,14.579574
75,9.250000,1.758278,14.163720,14.163720
76,10.312500,1.372594,15.140638,14.463256
77,10.500000,1.376990,15.300953,14.596063
78,4.187500,1.040969,7.464184,6.841818
79,4.031250,1.113665,7.614626,7.016329
80,4.125000,1.749418,9.170760,9.170760
81,4.343750,1.797106,8.618435,8.618435
82,10.750000,1.099957,15.701367,14.896761
83,10.937500,1.164489,15.335211,14.760983
84,10.437500,3.766535,13.512663,13.512663
85,10.062500,3.765650,12.529994,12.529994
86,9.187500,1.562035,13.681043,13.681043
87,9.125000,1.541543,13.098501,13.098501
88,10.750000,1.376376,15.488919,14.763398
89,10.875000,2.075378,16.023817,15.294857
90,3.703125,1.196244,7.760164,7.148113
91,3.265625,1.265827,7.813997,7.222577
92,5.187500,1.777792,7.998881,7.998881
93,5.125000,1.798444,6.502645,6.502645
94,11.125000,1.205449,15.287686,14.596550
95,11.250000,1.273919,14.825603,14.447370
96,9.625000,3.964869,11.440900,11.440900
97,9.062500,3.313534,10.252211,10.252211
98,8.937500,2.237055,12.508670,12.508670
99,8.562500,2.395190,11.873164,11.873164
