sample_idx,prediction,reward,td_target,return
0,10.375000,1.661139,15.006654,11.829490
1,10.937500,1.701300,16.343212,13.166048
2,9.750000,1.215265,11.731413,8.705542
3,9.875000,1.229164,12.905523,9.879652
4,16.250000,1.207051,11.472240,8.487632
5,14.812500,1.157518,12.663819,9.720472
6,11.750000,0.898749,8.114515,4.772303
7,12.125000,0.933286,9.314474,5.917246
8,12.937500,1.860071,11.449306,8.340912
9,13.250000,1.985281,12.886522,9.846898
10,10.187500,1.438611,12.255486,9.023306
11,9.250000,1.462854,13.666662,10.365712
12,11.500000,1.732522,17.422688,14.231770
13,11.937500,2.268718,18.546490,15.383080
14,10.500000,1.258457,13.813404,10.801288
15,11.187500,1.284446,14.532579,11.506709
16,15.562500,1.229582,13.844713,10.653795
17,15.625000,1.233003,14.590475,11.399557
18,12.437500,0.939154,10.243275,6.818539
19,12.750000,0.872288,10.822172,7.466207
20,13.625000,3.054357,11.560247,11.560247
21,13.437500,2.604972,11.693415,11.693415
22,11.187500,1.439164,14.649952,11.445279
23,12.437500,1.492640,15.323482,12.352627
24,12.687500,2.277005,19.474174,16.379534
25,13.437500,2.225798,20.417841,17.254431
26,11.687500,1.350374,15.112448,12.100330
27,12.187500,1.413061,15.719395,12.679770
28,15.312500,1.362538,15.189788,12.026378
29,16.375000,1.429913,15.689109,12.553206
30,13.750000,0.868629,11.349782,7.938800
31,14.000000,-1.225422,10.599579,7.298628
32,13.312500,2.245835,11.674058,11.674058
33,13.000000,1.704659,11.495963,11.495963
34,9.187500,1.483355,16.183170,13.061023
35,11.562500,1.540988,16.855625,13.692214
36,14.000000,2.947879,18.407084,18.407084
37,14.500000,2.627675,18.188433,18.188433
38,12.062500,1.414974,16.224709,13.143822
39,12.312500,1.854616,16.776960,13.682320
40,15.875000,1.430657,16.051792,12.984659
41,16.875000,1.469157,16.503607,13.353951
42,14.375000,-0.150406,10.289267,7.002071
43,14.250000,0.198352,10.045479,6.758283
44,13.125000,1.473583,11.267673,11.267673
45,13.250000,1.488737,10.958549,10.958549
46,10.875000,1.501771,17.381859,14.218449
47,12.687500,1.060804,17.727377,14.495196
48,14.375000,2.511592,17.851774,17.851774
49,14.375000,2.352439,17.333447,17.333447
50,12.187500,1.941050,17.357456,14.221555
51,12.437500,1.905418,17.778299,14.642397
52,15.750000,1.413728,16.811676,13.648265
53,16.250000,1.385110,16.978474,13.870078
54,14.187500,0.468780,9.932899,6.604441
55,14.000000,0.658571,9.809192,6.508242
56,13.312500,1.539195,10.597659,10.597659
57,13.125000,1.557873,10.247841,10.247841
58,12.625000,0.954784,17.759495,14.664854
59,13.437500,0.976038,18.078588,14.805146
60,14.125000,1.985381,16.703621,16.703621
61,13.937500,1.866131,15.986340,15.986340
62,12.000000,2.440687,15.406771,15.406771
63,11.875000,2.220593,14.992043,14.992043
64,16.250000,1.415778,17.295700,14.118535
65,16.500000,1.384712,17.460640,14.269722
66,13.812500,0.823073,9.800990,6.527548
67,13.687500,0.934621,9.895505,6.608309
68,12.562500,1.670669,9.930879,9.930879
69,12.625000,1.741276,9.519712,9.519712
70,13.500000,0.995114,18.334894,14.910159
71,12.937500,1.020608,18.268635,14.940176
72,13.312500,2.422961,15.221447,15.221447
73,13.000000,2.975528,14.393665,14.393665
74,11.625000,1.571909,14.579574,14.579574
75,11.875000,1.758278,14.163720,14.163720
76,17.000000,1.372594,17.654175,14.463256
77,17.000000,1.376990,17.828243,14.596063
78,13.187500,1.040969,10.087751,6.841818
79,13.000000,1.113665,10.303525,7.016329
80,12.437500,1.749418,9.170760,9.170760
81,12.437500,1.797106,8.618435,8.618435
82,13.062500,1.099957,18.225220,14.896761
83,13.375000,1.164489,18.158211,14.760983
84,12.937500,3.766535,13.512663,13.512663
85,12.687500,3.765650,12.529994,12.529994
86,11.812500,1.562035,13.681043,13.681043
87,11.562500,1.541543,13.098501,13.098501
88,16.625000,1.376376,18.023087,14.763398
89,16.250000,2.075378,18.499529,15.294857
90,12.687500,1.196244,10.407802,7.148113
91,12.375000,1.265827,10.468511,7.222577
92,11.687500,1.777792,7.998881,7.998881
93,11.250000,1.798444,6.502645,6.502645
94,13.125000,1.205449,17.952517,14.596550
95,13.187500,1.273919,17.789581,14.447370
96,12.000000,3.964869,11.440900,11.440900
97,11.750000,3.313534,10.252211,10.252211
98,11.562500,2.237055,12.508670,12.508670
99,11.000000,2.395190,11.873164,11.873164
