true_return,run_0
11.82949,2.59375
13.166048,3.40625
8.705542,1.0
9.879652,1.625
8.487632,2.25
9.720472,3.453125
4.772303,1.1875
5.9172463,1.5234375
8.340912,1.1015625
9.846898,1.4375
9.023306,1.4375
10.365712,2.0
14.23177,4.71875
15.38308,5.875
10.801288,2.234375
11.506709,3.875
10.653795,5.09375
11.399557,6.84375
6.818539,2.53125
7.4662066,3.703125
11.560247,2.3125
11.693415,2.90625
11.445279,3.015625
12.352627,4.34375
16.379534,7.40625
17.25443,8.1875
12.10033,4.84375
12.6797695,5.34375
12.026378,7.6875
12.553206,8.3125
7.9388003,4.21875
7.2986283,4.46875
11.674058,3.75
11.495963,4.15625
13.061023,5.625
13.692214,5.9375
18.407084,9.5
18.188433,9.6875
13.143822,5.6875
13.68232,6.09375
12.984659,9.125
13.3539505,9.25
7.002071,4.84375
6.7582827,5.59375
11.267673,5.03125
10.9585495,5.5625
14.218449,6.5
14.495196,7.28125
17.851774,9.8125
17.333447,10.375
14.221555,6.78125
14.642397,7.53125
13.648265,9.4375
13.870078,9.875
6.604441,5.03125
6.5082417,4.90625
10.597659,5.5
10.247841,5.53125
14.664854,8.3125
14.805146,9.625
16.70362,10.875
15.98634,11.0625
15.406771,8.1875
14.992043,8.6875
14.118535,9.9375
14.269722,10.125
6.527548,4.8125
6.608309,4.53125
9.930879,4.75
9.519712,4.78125
14.910159,10.0625
14.940176,10.4375
15.221447,10.875
14.393665,10.75
14.579574,9.0625
14.16372,9.25
14.463256,10.375
14.596063,10.4375
6.841818,4.4375
7.016329,4.03125
9.17076,4.3125
8.618435,4.28125
14.896761,10.875
14.760983,11.0
13.512663,10.375
12.529994,10.0625
13.681043,9.25
13.098501,8.9375
14.763398,10.75
15.294857,10.75
7.1481133,3.515625
7.2225766,3.15625
7.998881,5.0625
6.502645,5.15625
14.59655,11.125
14.44737,11.1875
11.4409,9.5625
10.252211,9.0625
12.50867,9.0625
11.873164,8.5
