td_target,nstep_return,run_0
26.371078,6.2352858,22.625
27.586311,7.450517,23.625
31.31388,10.958024,25.125
32.74743,12.39157,25.125
30.050617,9.584729,24.5
31.44588,10.979992,25.625
25.370869,5.1250424,20.875
26.515673,6.3798785,21.625
28.49308,8.467317,24.75
29.36131,9.225516,25.75
13.816737,13.816737,11.1875
13.903722,13.903722,11.25
32.34792,11.992062,26.625
33.156406,12.800548,27.625
27.446476,7.310682,22.5
28.065815,8.040052,23.125
30.104698,9.8588705,26.625
30.551233,10.305407,27.375
13.79306,13.79306,10.875
13.518146,13.518146,10.3125
33.857277,13.39139,28.375
34.40733,13.941442,29.0
28.737822,8.602028,23.75
29.348112,9.212318,24.25
31.012215,10.656356,27.5
31.255741,10.899883,28.125
13.114869,13.114869,9.625
12.610137,12.610137,8.875
34.935417,14.359496,29.375
35.346355,14.770432,29.75
30.022655,9.886861,24.625
30.830975,10.585147,25.25
31.460686,11.104829,28.625
31.676394,11.320536,29.0
12.05287,12.05287,8.25
11.4524765,11.4524765,7.75
35.60004,15.134151,30.125
36.035526,15.459603,30.75
31.495602,11.249776,25.625
32.09316,11.737301,26.0
31.897915,11.542057,29.25
32.088432,11.7325735,30.0
10.804741,10.804741,6.84375
10.056776,10.056776,6.28125
36.175095,15.709205,31.125
36.60972,16.143827,31.5
32.40824,12.1624155,26.5
32.67149,12.425664,26.875
32.247837,11.891979,30.25
32.3525,11.996645,30.625
9.197222,9.197222,5.59375
8.216748,8.216748,4.90625
36.832214,16.366327,32.0
37.03148,16.565592,32.5
33.080704,12.724846,27.375
33.40325,13.047396,28.0
32.484665,12.128806,30.75
32.60664,12.250783,31.0
7.1245017,7.1245017,4.40625
5.952417,5.952417,4.09375
37.296295,16.830404,32.5
37.507782,17.151924,33.0
33.829483,13.473627,28.875
34.47276,14.2269335,29.375
32.870407,12.404519,31.125
32.920166,12.564307,31.125
4.252179,4.252179,3.359375
2.4700706,2.4700706,2.5625
37.86547,17.509611,33.5
38.27052,17.914661,34.0
35.26672,14.910862,29.25
16.039906,16.039906,20.75
33.08415,12.728291,31.25
33.285225,12.929369,31.5
2.2157924,2.2157924,1.9140625
2.162795,2.162795,0.6640625
38.42028,18.174456,34.25
38.590904,18.345076,34.5
15.617365,15.617365,16.125
15.278658,15.278658,15.3125
33.458214,13.102358,31.75
33.646214,13.400387,31.875
2.59463,2.59463,1.3125
22.983843,2.4079213,22.0
39.072342,18.826513,34.5
39.282623,19.146832,35.0
15.087667,15.087667,14.375
14.893238,14.893238,13.375
33.944252,13.698423,32.25
34.41457,14.058712,32.5
22.48426,1.9083383,22.25
22.176735,1.7108468,21.375
39.72751,19.591717,35.0
20.282173,20.282173,22.375
14.562137,14.562137,12.5
14.112614,14.112614,11.625
34.727425,14.371566,33.0
35.07528,14.609388,33.25
22.10467,1.6387807,21.25
22.29307,1.9372116,21.875
