td_target,nstep_return,run_0
26.371078,6.2352858,41.25
27.586311,7.450517,41.5
31.31388,10.958024,43.25
32.74743,12.39157,43.75
30.050617,9.584729,42.75
31.44588,10.979992,42.75
25.370869,5.1250424,41.75
26.515673,6.3798785,41.75
24.808413,4.7826505,42.75
25.72659,5.7008276,42.75
25.86364,5.6178126,43.0
27.136303,6.890476,42.75
31.742899,11.497072,41.75
33.070778,12.82495,42.0
24.402836,4.157008,41.75
25.720787,5.4749603,41.75
28.49308,8.467317,41.5
29.36131,9.225516,41.5
13.816737,13.816737,43.75
13.903722,13.903722,43.75
32.34792,11.992062,42.5
33.156406,12.800548,42.5
27.446476,7.310682,41.5
28.065815,8.040052,41.5
26.552925,6.527163,42.75
27.25717,7.231407,42.75
27.859655,7.723861,42.5
28.649849,8.404023,42.5
34.11015,13.864323,42.0
35.02958,14.67372,42.25
26.695034,6.4492083,41.75
27.422634,7.176807,41.75
30.104698,9.8588705,41.75
30.551233,10.305407,41.5
13.79306,13.79306,43.5
13.518146,13.518146,43.5
33.857277,13.39139,42.5
34.40733,13.941442,42.5
28.737822,8.602028,41.5
29.348112,9.212318,41.5
28.038542,7.9027476,43.0
28.688284,8.55249,43.0
29.275028,9.0292015,42.75
30.002075,9.536187,42.75
35.992855,15.636998,42.25
36.809975,16.454117,42.5
28.001911,7.7560844,41.75
28.55766,8.201801,42.0
31.012215,10.656356,41.5
31.255741,10.899883,41.75
13.114869,13.114869,43.5
12.610137,12.610137,43.5
34.935417,14.359496,42.75
35.346355,14.770432,42.75
30.022655,9.886861,41.5
30.830975,10.585147,41.5
29.461533,9.215706,43.0
30.262232,9.906374,43.25
30.717403,10.141481,42.75
11.041279,11.041279,43.0
17.615246,17.615246,42.25
17.25313,17.25313,42.25
29.003777,8.647919,42.25
29.47731,9.121451,42.0
31.460686,11.104829,41.75
31.676394,11.320536,42.0
12.05287,12.05287,43.5
11.4524765,11.4524765,43.5
35.60004,15.134151,42.75
36.035526,15.459603,42.75
31.495602,11.249776,41.5
32.09316,11.737301,41.75
30.900244,10.544386,43.25
31.558285,11.092397,43.25
10.9166355,10.9166355,43.25
10.860251,10.860251,43.25
16.813005,16.813005,42.25
16.267132,16.267132,42.25
30.075798,9.609908,42.25
30.479614,10.013724,42.25
31.897915,11.542057,41.75
32.088432,11.7325735,41.75
10.804741,10.804741,43.25
10.056776,10.056776,43.5
36.175095,15.709205,42.5
36.60972,16.143827,42.75
32.40824,12.1624155,41.75
32.67149,12.425664,41.75
31.949242,11.37332,43.25
32.112213,11.536291,43.25
10.65138,10.65138,43.25
10.553639,10.553639,43.25
15.651148,15.651148,42.25
14.98007,14.98007,42.0
30.655493,10.189604,42.25
30.603886,10.027963,42.75
32.247837,11.891979,42.0
32.3525,11.996645,41.75
9.197222,9.197222,43.25
8.216748,8.216748,43.5
36.832214,16.366327,42.5
37.03148,16.565592,42.75
33.080704,12.724846,41.75
33.40325,13.047396,41.75
32.20118,11.625257,43.25
32.318485,11.742562,43.0
10.2476015,10.2476015,43.25
9.959161,9.959161,43.25
14.275277,14.275277,42.25
13.575343,13.575343,42.0
30.297682,9.72176,42.5
30.059307,9.483385,42.5
32.484665,12.128806,42.0
32.60664,12.250783,41.75
7.1245017,7.1245017,43.5
5.952417,5.952417,43.25
37.296295,16.830404,42.75
37.507782,17.151924,42.5
33.829483,13.473627,41.75
34.47276,14.2269335,42.0
32.3947,11.818777,43.25
32.44151,11.865587,43.25
9.572025,9.572025,43.25
8.97415,8.97415,43.25
12.750418,12.750418,42.25
11.833729,11.833729,42.25
29.954357,9.378434,42.5
29.92015,9.344229,42.5
32.870407,12.404519,42.0
32.920166,12.564307,42.0
4.252179,4.252179,43.0
2.4700706,2.4700706,43.0
37.86547,17.509611,42.5
38.27052,17.914661,42.25
35.26672,14.910862,41.75
16.039906,16.039906,41.75
32.430576,11.854653,43.0
32.494354,11.91843,43.0
8.2262335,8.2262335,43.25
7.4806347,7.4806347,43.5
10.795883,10.795883,42.0
9.69123,9.69123,42.0
29.74513,9.169209,42.5
29.548409,8.9724865,42.5
33.08415,12.728291,41.75
33.285225,12.929369,42.0
2.2157924,2.2157924,42.75
2.162795,2.162795,42.75
38.42028,18.174456,42.25
38.590904,18.345076,42.0
15.617365,15.617365,41.75
15.278658,15.278658,41.75
32.46159,11.885668,43.0
32.341995,11.876105,43.25
6.788243,6.788243,43.5
5.9877505,5.9877505,43.5
8.507191,8.507191,42.0
7.287079,7.287079,42.0
29.44563,8.869707,42.5
29.329166,8.753244,42.25
33.458214,13.102358,42.0
33.646214,13.400387,41.75
2.59463,2.59463,42.75
22.983843,2.4079213,42.5
39.072342,18.826513,41.75
39.282623,19.146832,42.0
15.087667,15.087667,41.5
14.893238,14.893238,41.5
12.204081,12.204081,43.0
11.70288,11.70288,43.0
4.8989344,4.8989344,43.25
3.7534242,3.7534242,43.25
5.2597675,5.2597675,41.75
3.178295,3.178295,41.75
29.091305,8.515383,42.5
28.783894,8.207971,42.5
33.944252,13.698423,41.75
34.41457,14.058712,41.75
22.374228,1.9083383,42.5
22.176735,1.7108468,42.5
39.72751,19.591717,41.75
20.282173,20.282173,41.5
14.562137,14.562137,41.5
14.112614,14.112614,41.5
11.271386,11.271386,43.0
10.896764,10.896764,43.0
2.227984,2.227984,43.25
2.0678935,2.0678935,43.25
3.04153,3.04153,41.5
2.956698,2.956698,41.5
28.32346,7.7475386,42.5
27.732971,7.267083,42.5
34.727425,14.371566,41.75
35.07528,14.609388,42.0
21.994638,1.6387807,42.5
22.29307,1.9372116,42.5
19.499292,19.499292,41.25
18.665728,18.665728,41.25
13.428914,13.428914,41.25
12.754521,12.754521,41.25
