td_target,nstep_return,run_0
32.625473,11.82949,43.75
33.962032,13.166048,44.0
29.17143,8.705542,43.0
30.455574,9.879652,43.0
28.513393,8.487632,42.0
29.856266,9.720472,42.75
27.108553,6.4226,43.0
28.164375,7.588453,42.75
28.256643,8.340912,41.0
29.76263,9.846898,41.0
29.269133,9.023306,42.75
30.72157,10.365712,43.25
25.499886,5.474122,42.5
26.56767,6.6519394,42.75
25.024746,4.8889527,42.0
26.110857,6.085094,42.0
35.027756,14.23177,43.75
36.17906,15.38308,43.75
31.377209,10.801288,43.0
32.08263,11.506709,43.25
30.679558,10.653795,42.75
31.53535,11.399557,42.75
29.215118,8.529165,42.75
29.836098,9.260177,42.75
11.560247,11.560247,41.0
11.693415,11.693415,41.0
31.691105,11.445279,43.25
32.598454,12.352627,43.0
27.594078,7.568315,42.75
28.299091,8.38336,42.75
26.994915,6.969153,42.0
27.689972,7.664209,41.75
37.175518,16.379534,43.75
38.050415,17.25443,44.0
32.676254,12.10033,43.0
33.14566,12.6797695,43.0
32.382236,12.026378,43.0
33.019096,12.553206,43.25
30.40871,9.832789,42.75
30.816645,10.240723,42.75
11.674058,11.674058,41.25
11.495963,11.495963,41.25
33.41688,13.061023,43.25
34.158104,13.692214,42.75
9.324848,9.324848,42.75
9.308645,9.308645,42.75
28.263145,8.237384,41.75
28.793255,8.657462,42.0
18.407084,18.407084,44.0
18.188433,18.188433,43.75
33.60971,13.143822,42.75
34.14821,13.68232,42.75
33.450546,12.984659,42.75
33.70981,13.3539505,42.75
31.357761,10.671808,42.75
31.761757,11.075805,42.75
11.267673,11.267673,41.5
10.9585495,10.9585495,41.75
34.794373,14.218449,43.5
35.071117,14.495196,42.5
9.235202,9.235202,43.0
9.030576,9.030576,43.0
27.916245,7.890482,42.0
27.683609,7.6578474,42.0
17.851774,17.851774,43.75
17.333447,17.333447,43.5
34.687443,14.221555,42.75
35.108284,14.642397,42.75
34.004124,13.648265,42.25
34.225937,13.870078,42.25
32.070427,11.384475,42.75
32.300434,11.724511,42.75
10.597659,10.597659,41.5
10.247841,10.247841,41.5
35.240776,14.664854,43.5
35.38107,14.805146,42.5
8.909125,8.909125,43.0
8.571816,8.571816,42.75
27.376213,7.460482,42.0
27.321074,7.4053416,42.0
16.70362,16.70362,43.75
15.98634,15.98634,43.75
15.406771,15.406771,43.0
14.992043,14.992043,42.75
34.36436,14.118535,42.0
34.51555,14.269722,41.75
32.657005,12.081082,42.75
32.855762,12.2798395,42.75
9.930879,9.930879,41.75
9.519712,9.519712,41.75
35.59611,14.910159,43.0
35.516098,14.940176,43.25
8.137685,8.137685,42.5
7.6489625,7.6489625,42.5
27.21364,7.2979083,42.0
