sample_idx,prediction,reward,td_target,return
0,10.500000,-0.501323,8.638332,5.502430
1,10.750000,-0.211416,9.110264,5.960608
2,10.500000,1.251042,11.184142,8.020732
3,11.312500,1.238462,12.411375,9.385505
4,11.250000,0.503382,7.654809,4.312598
5,11.437500,0.550034,8.478189,5.177240
6,11.937500,1.214862,11.126259,7.880325
7,12.625000,1.220781,12.325497,9.120824
8,10.687500,1.358665,13.107475,10.095358
9,11.187500,1.301269,14.347033,11.348670
10,13.375000,0.648637,7.781733,4.370751
11,14.000000,1.123356,9.219938,5.740187
12,9.625000,1.164393,8.979259,5.980896
13,10.187500,1.198030,10.347374,7.335257
14,10.312500,1.073700,8.909662,5.815022
15,11.062500,1.050863,9.962801,6.950684
16,11.250000,0.024107,9.287251,6.151349
17,11.437500,0.161577,9.334322,6.198420
18,12.250000,1.258344,13.542843,10.475710
19,12.750000,1.246344,14.444461,11.308558
20,11.812500,0.540801,9.095345,5.725625
21,12.437500,0.561886,9.432257,6.062537
22,12.875000,1.224289,13.348850,10.130424
23,13.000000,1.290265,14.110373,10.933209
24,11.750000,1.280100,15.418247,12.351114
25,12.437500,1.287365,16.114136,13.019495
26,14.312500,0.930540,10.054851,6.602607
27,14.000000,1.305773,10.871462,7.432973
28,10.875000,1.196239,11.375350,8.390741
29,11.312500,1.304312,12.232068,9.261213
30,11.500000,1.200470,10.956905,7.889772
31,11.875000,1.144879,11.799717,8.773847
32,11.687500,0.452676,9.261208,6.152812
33,12.000000,0.524805,9.165028,6.042880
34,12.937500,1.293175,15.084171,11.989531
35,14.000000,1.326241,15.656477,12.520575
36,12.812500,0.671857,9.632346,6.303888
37,13.062500,0.652397,9.754326,6.412115
38,13.625000,1.236900,14.638714,11.530319
39,13.937500,1.246072,15.190286,12.040629
40,13.250000,1.780183,16.931787,13.850901
41,13.250000,1.731170,17.585693,14.477298
42,14.437500,1.988465,8.400907,8.400907
43,15.125000,1.523531,8.438919,8.438919
44,12.437500,1.314913,12.834272,9.973450
45,12.625000,1.366777,13.345734,10.608696
46,12.312500,1.087132,12.446125,9.406501
47,12.625000,1.291624,13.246220,10.179087
48,12.125000,0.653114,9.000184,5.836773
49,12.000000,0.710931,8.773245,5.596080
50,14.312500,1.371337,16.156511,12.965592
51,14.750000,1.393936,16.496256,13.332845
52,13.625000,0.676758,9.742180,6.454984
53,13.812500,0.619936,9.659227,6.413293
54,14.312500,1.203402,15.569711,12.406301
55,14.375000,1.181880,15.835501,12.727106
56,13.625000,1.841129,18.099588,14.949932
57,13.687500,2.203266,15.622611,15.622611
58,14.812500,1.492325,8.425955,8.425955
59,15.000000,1.462838,8.229343,8.229343
60,12.500000,1.437030,13.975400,11.224608
61,12.500000,1.434300,14.557298,11.820260
62,12.500000,1.573155,14.228138,11.050974
63,12.562500,2.417743,12.120117,12.120117
64,12.125000,0.786610,8.542340,5.378930
65,11.437500,0.850082,8.324958,5.147793
66,14.562500,1.376695,16.745235,13.636840
67,14.562500,1.370960,16.941742,13.888363
68,13.937500,0.564532,9.609116,6.308166
69,14.187500,0.479517,9.388052,6.114610
70,14.562500,1.263557,16.133736,13.011586
71,14.062500,1.377840,16.330849,13.222455
72,14.187500,2.479203,15.132141,15.132141
73,13.625000,2.233189,14.624680,14.624680
74,15.187500,1.188095,8.192235,8.192235
75,15.312500,0.998644,7.897220,7.897220
76,12.625000,1.409530,15.187015,12.408715
77,12.687500,1.396259,15.755543,12.935981
78,12.187500,2.212695,11.982388,11.982388
79,12.312500,2.074347,11.720939,11.720939
80,11.312500,0.844836,8.002996,4.853340
81,11.187500,0.892509,7.675275,4.539373
82,14.437500,1.370050,17.151941,14.112316
83,14.812500,1.384330,17.370092,14.289207
84,13.937500,0.535032,9.194697,5.921256
85,13.875000,0.578932,9.313667,6.040225
86,14.500000,1.493149,16.697001,13.533590
87,14.437500,1.467274,16.980433,13.803268
88,13.812500,2.674860,14.051808,14.051808
89,13.500000,2.369157,13.336585,13.336585
90,15.062500,0.892517,7.505725,7.505725
91,14.875000,1.034136,7.110253,7.110253
92,12.937500,1.401116,16.335222,13.460645
93,12.875000,1.397711,16.754126,13.852040
94,11.937500,2.793171,11.369724,11.369724
95,11.875000,2.491850,11.019014,11.019014
96,11.250000,0.920264,7.369787,4.192623
97,11.312500,0.964201,6.995131,3.831721
98,14.937500,1.390204,17.523027,14.455894
99,15.250000,1.449436,17.740948,14.632553
100,13.750000,0.626895,9.440863,6.194928
101,14.000000,0.914171,9.731218,6.457777
102,14.437500,1.469664,17.241390,14.077979
103,14.437500,1.597001,17.568077,14.363404
104,13.312500,2.236511,12.641623,12.641623
105,12.812500,2.175110,11.878716,11.878716
106,14.500000,0.947951,6.779986,6.779986
107,14.187500,1.087190,6.391615,6.391615
108,12.562500,1.344087,17.121269,14.177921
109,12.812500,1.424704,17.472431,14.487823
110,11.500000,2.394749,10.504514,10.504514
