td_target,nstep_return,run_0
69.77072,49.304832,70.0
69.97747,49.291515,70.0
71.59235,51.12646,73.0
71.4127,50.946808,73.0
71.97098,51.505093,71.5
72.20566,51.73977,71.5
69.37685,48.91096,68.0
69.16465,48.69876,67.5
70.9285,50.57264,69.5
70.76378,50.407925,69.0
70.833954,50.58813,70.0
71.27428,50.918415,70.5
72.182785,51.49683,70.0
72.33079,51.754864,70.5
72.86116,52.39527,73.0
73.10482,52.63893,73.5
69.95121,49.265255,69.5
69.778,49.20208,69.0
71.28115,50.81526,73.0
71.330246,50.754322,73.0
72.43483,51.968945,72.0
72.56604,52.210186,72.5
69.05981,48.483887,67.5
68.77541,48.309525,67.0
70.607864,50.252003,69.0
70.47478,50.118916,69.0
71.57259,51.216736,71.0
71.67579,51.429962,71.5
72.64335,52.067425,71.0
73.08238,52.39643,72.0
73.41478,52.948895,74.5
73.74106,53.27517,75.0
69.67418,49.098255,68.5
69.46601,49.000122,68.0
71.29463,50.71871,72.5
71.25503,50.679108,72.5
72.83789,52.372005,72.5
72.93349,52.467598,73.0
68.687454,48.221565,67.0
68.594864,48.12898,67.0
70.501236,50.03535,68.5
70.479004,50.01311,68.5
71.91132,51.555466,72.0
71.83734,51.591515,72.0
73.41643,52.730476,73.0
73.60573,53.029804,74.0
74.00351,53.537624,76.0
74.238464,53.772575,76.5
69.37302,48.907127,68.0
69.22365,48.867794,68.0
71.22004,50.644115,72.5
71.17829,50.602367,72.0
73.02388,52.55799,73.5
73.1496,52.683712,74.0
68.62807,48.052147,67.0
68.585365,48.009445,66.5
70.5231,50.05721,69.0
70.55661,50.200756,69.5
72.004,51.53811,72.0
72.13305,51.447094,72.0
73.97895,53.293,74.5
74.17685,53.4909,75.0
74.29033,53.824444,76.5
74.40215,53.82623,76.5
69.21506,48.859203,68.0
69.26519,48.909332,68.0
71.10401,50.52809,71.5
70.93828,50.47239,71.5
73.391975,52.81605,74.5
73.48759,52.911663,74.5
68.47899,48.0131,66.5
68.56506,48.099174,66.5
70.85266,50.386776,70.0
71.13434,50.66845,70.5
71.92378,51.34786,71.5
71.95151,51.265556,72.0
74.459816,53.66383,75.5
74.59815,53.80217,75.5
74.41638,53.840458,76.5
74.24919,53.783306,76.5
69.42799,48.9621,68.0
69.522385,49.05649,68.5
70.90132,50.43543,71.0
71.12544,50.43949,71.0
73.652534,52.966583,75.0
73.6085,53.032578,75.0
68.85552,48.279602,67.0
69.250145,48.56419,67.0
71.49547,51.02958,71.0
71.78587,51.43002,71.5
72.13158,51.225563,72.0
72.089485,51.183468,72.0
74.83179,53.92577,76.0
74.96189,54.055874,76.5
74.15441,53.688522,76.0
74.03107,53.56518,75.5
69.805695,49.22977,68.5
69.95459,49.378666,69.0
71.0581,50.482174,70.5
71.13584,50.559917,70.5
73.73483,53.04888,74.5
73.752,53.066044,74.5
69.59685,48.910892,67.5
69.98926,49.303303,68.0
72.21709,51.86123,72.5
72.74075,52.274868,73.0
71.961876,51.16589,71.5
72.00024,51.094223,71.5
74.988815,54.19283,77.0
75.243004,54.336987,77.0
73.90124,53.43535,75.0
73.76457,53.298683,74.5
70.00128,49.535397,69.5
70.05086,49.584965,69.5
71.25382,50.677902,69.0
71.37802,50.802097,69.5
73.78528,53.099323,74.5
73.930336,53.13435,74.5
70.29611,49.720192,68.5
70.81098,50.12503,69.5
73.055664,52.699806,73.5
73.45599,53.10014,74.5
71.814766,51.018784,71.5
71.76721,50.97123,71.5
75.29551,54.389496,77.5
75.24075,54.44477,78.0
73.62071,53.154823,74.0
73.579315,53.003395,73.5
70.15101,49.575085,69.5
70.0816,49.505672,69.5
71.70562,51.129696,70.5
72.11838,51.432423,71.0
73.96721,53.171227,74.5
74.00602,53.210037,74.5
71.09371,50.51779,69.5
71.47541,50.899487,70.5
73.823524,53.467667,75.0
74.286095,53.820206,76.0
71.753044,50.957058,71.5
71.77716,50.98118,71.5
75.298935,54.502953,78.0
75.360176,54.564194,78.5
73.370674,52.79475,73.0
73.15105,52.575127,72.5
70.027756,49.45183,70.0
69.94601,49.370083,70.0
72.397736,51.711784,71.5
72.61602,51.93007,72.0
74.04688,53.250896,74.5
74.08989,53.293903,74.5
71.967926,51.28197,70.5
72.25465,51.678726,71.5
74.56193,53.986008,76.5
74.63738,54.061462,77.0
71.925224,51.019207,71.5
71.86567,51.069687,71.5
75.38333,54.587345,78.5
75.4077,54.611713,78.0
72.91987,52.343945,71.5
72.67651,52.100594,71.5
69.85645,49.280533,70.0
69.88254,49.196583,70.0
72.92541,52.129425,72.5
73.001526,52.31557,73.0
74.02512,53.339172,74.5
74.167595,53.371613,74.0
72.90087,52.10489,72.0
73.349464,52.553482,73.0
74.627335,54.05141,76.5
74.577,54.00108,76.5
71.92666,51.130676,72.0
71.99086,51.194874,72.0
75.43335,54.637367,78.5
75.46035,54.664368,78.5
72.42036,51.844433,70.0
72.04068,51.57479,70.0
69.60463,49.138737,70.0
69.587814,49.121925,70.0
73.29229,52.496304,73.5
73.48253,52.686546,74.0
74.08645,53.400497,74.0
74.01972,53.4438,74.0
73.66639,52.980434,73.5
74.17762,53.381634,74.5
74.42563,53.959743,76.0
74.249756,53.8939,76.0
72.06333,51.267345,72.0
72.10846,51.312477,72.0
75.48878,54.69279,78.0
75.40866,54.72271,78.0
72.239395,51.66347,70.5
72.46445,51.778492,71.5
69.570114,49.10423,70.0
69.49133,49.025444,70.0
73.6309,52.834915,74.5
73.736,52.940014,74.5
74.06531,53.489384,74.5
74.095566,53.519646,75.0
74.67029,53.764275,75.0
75.09502,54.078964,76.0
