td_target,nstep_return,run_0
69.77072,49.304832,46.75
69.97747,49.291515,46.5
71.59235,51.12646,46.0
71.4127,50.946808,46.25
71.97098,51.505093,46.25
72.20566,51.73977,46.0
69.37685,48.91096,46.75
69.16465,48.69876,46.5
70.9285,50.57264,46.0
70.76378,50.407925,46.25
70.833954,50.58813,46.25
71.27428,50.918415,46.25
72.182785,51.49683,46.75
72.33079,51.754864,46.75
72.86116,52.39527,46.5
73.10482,52.63893,46.5
69.95121,49.265255,46.75
69.778,49.20208,46.75
71.28115,50.81526,46.5
71.330246,50.754322,46.5
72.43483,51.968945,46.5
72.56604,52.210186,46.25
69.05981,48.483887,46.5
68.77541,48.309525,46.5
70.607864,50.252003,46.25
70.47478,50.118916,46.25
71.57259,51.216736,46.25
71.67579,51.429962,46.25
72.64335,52.067425,46.75
73.08238,52.39643,47.0
73.41478,52.948895,46.5
73.74106,53.27517,46.5
69.67418,49.098255,46.5
69.46601,49.000122,46.5
71.29463,50.71871,46.5
71.25503,50.679108,46.5
72.83789,52.372005,46.25
72.93349,52.467598,46.5
68.687454,48.221565,46.0
68.594864,48.12898,46.25
70.501236,50.03535,46.25
70.479004,50.01311,46.5
71.91132,51.555466,46.25
71.83734,51.591515,46.25
73.41643,52.730476,47.0
73.60573,53.029804,47.25
74.00351,53.537624,46.5
74.238464,53.772575,46.5
69.37302,48.907127,46.5
69.22365,48.867794,46.0
71.22004,50.644115,46.5
71.17829,50.602367,46.5
73.02388,52.55799,46.5
73.1496,52.683712,46.5
68.62807,48.052147,46.25
68.585365,48.009445,46.25
70.5231,50.05721,46.5
70.55661,50.200756,46.5
72.004,51.53811,46.25
72.13305,51.447094,46.5
73.97895,53.293,47.0
74.17685,53.4909,47.0
74.29033,53.824444,46.5
74.40215,53.82623,46.5
69.21506,48.859203,46.25
69.26519,48.909332,45.75
71.10401,50.52809,46.25
70.93828,50.47239,46.5
73.391975,52.81605,46.75
73.48759,52.911663,46.75
68.47899,48.0131,46.5
68.56506,48.099174,46.25
70.85266,50.386776,46.25
71.13434,50.66845,46.25
71.92378,51.34786,47.0
71.95151,51.265556,47.0
74.459816,53.66383,47.0
74.59815,53.80217,47.25
74.41638,53.840458,46.5
74.24919,53.783306,46.75
69.42799,48.9621,46.0
69.522385,49.05649,46.0
70.90132,50.43543,46.25
71.12544,50.43949,46.25
73.652534,52.966583,46.75
73.6085,53.032578,46.75
68.85552,48.279602,46.5
69.250145,48.56419,46.5
71.49547,51.02958,46.25
71.78587,51.43002,46.25
72.13158,51.225563,47.0
72.089485,51.183468,47.25
74.83179,53.92577,47.25
74.96189,54.055874,47.25
74.15441,53.688522,46.5
74.03107,53.56518,46.5
69.805695,49.22977,46.0
69.95459,49.378666,46.5
71.0581,50.482174,46.5
71.13584,50.559917,46.5
73.73483,53.04888,46.75
73.752,53.066044,47.0
69.59685,48.910892,46.5
69.98926,49.303303,46.75
72.21709,51.86123,46.25
72.74075,52.274868,46.25
71.961876,51.16589,47.5
72.00024,51.094223,47.25
74.988815,54.19283,47.25
75.243004,54.336987,47.0
73.90124,53.43535,46.5
73.76457,53.298683,46.5
70.00128,49.535397,46.5
70.05086,49.584965,46.25
71.25382,50.677902,46.25
71.37802,50.802097,46.25
73.78528,53.099323,47.0
73.930336,53.13435,46.75
70.29611,49.720192,46.5
70.81098,50.12503,46.5
73.055664,52.699806,46.5
73.45599,53.10014,46.25
71.814766,51.018784,47.5
71.76721,50.97123,47.25
75.29551,54.389496,47.0
75.24075,54.44477,47.25
73.62071,53.154823,46.25
73.579315,53.003395,46.5
70.15101,49.575085,46.25
70.0816,49.505672,46.25
71.70562,51.129696,46.25
72.11838,51.432423,46.25
73.96721,53.171227,46.75
74.00602,53.210037,46.75
71.09371,50.51779,46.75
71.47541,50.899487,46.75
73.823524,53.467667,46.0
74.286095,53.820206,46.25
71.753044,50.957058,47.25
71.77716,50.98118,47.25
75.298935,54.502953,47.25
75.360176,54.564194,47.0
73.370674,52.79475,46.5
73.15105,52.575127,46.5
70.027756,49.45183,46.25
69.94601,49.370083,46.5
72.397736,51.711784,46.5
72.61602,51.93007,46.5
74.04688,53.250896,46.75
74.08989,53.293903,46.75
71.967926,51.28197,46.5
72.25465,51.678726,46.75
74.56193,53.986008,46.25
74.63738,54.061462,46.75
71.925224,51.019207,47.25
71.86567,51.069687,47.25
75.38333,54.587345,47.0
75.4077,54.611713,47.0
72.91987,52.343945,46.25
72.67651,52.100594,46.25
69.85645,49.280533,46.25
69.88254,49.196583,46.25
72.92541,52.129425,46.5
73.001526,52.31557,46.75
74.02512,53.339172,46.5
74.167595,53.371613,46.5
72.90087,52.10489,46.5
73.349464,52.553482,47.25
74.627335,54.05141,46.75
74.577,54.00108,46.75
71.92666,51.130676,47.25
71.99086,51.194874,47.25
75.43335,54.637367,47.0
75.46035,54.664368,47.0
72.42036,51.844433,46.0
72.04068,51.57479,46.25
69.60463,49.138737,46.5
69.587814,49.121925,46.25
73.29229,52.496304,46.75
73.48253,52.686546,46.75
74.08645,53.400497,46.5
74.01972,53.4438,46.5
73.66639,52.980434,47.0
74.17762,53.381634,47.25
74.42563,53.959743,46.75
74.249756,53.8939,46.5
72.06333,51.267345,47.25
72.10846,51.312477,47.0
75.48878,54.69279,47.0
75.40866,54.72271,47.0
72.239395,51.66347,45.75
72.46445,51.778492,46.25
69.570114,49.10423,46.25
69.49133,49.025444,46.25
73.6309,52.834915,46.75
73.736,52.940014,46.75
74.06531,53.489384,46.25
74.095566,53.519646,46.25
74.67029,53.764275,47.25
75.09502,54.078964,47.75
