td_target,nstep_return,run_0
73.1666,53.030807,71.5
73.382324,53.246532,72.0
74.9068,54.44091,75.5
74.803665,54.557842,75.5
73.65452,53.40869,73.0
73.79881,53.44296,73.0
73.4709,53.115044,71.0
73.719055,53.25317,71.5
72.00817,51.872375,70.5
72.15749,52.131733,71.0
74.77521,54.639416,75.0
75.05001,54.804184,75.5
74.5847,54.118813,74.5
74.55531,54.08942,74.5
73.057816,52.811985,72.5
73.26641,53.020584,73.0
73.562,53.4262,72.5
73.70007,53.56428,72.5
74.85571,54.60989,75.5
74.94791,54.592045,76.0
73.82652,53.470665,73.0
73.989685,53.523796,73.0
73.83122,53.365334,72.0
73.80148,53.445625,72.0
72.540535,52.40474,71.5
72.8786,52.63277,72.0
75.24068,54.994854,76.5
75.379425,55.1336,77.0
74.538605,54.07272,74.5
74.500244,54.03435,74.5
73.485985,53.240158,73.5
72.99382,52.96806,72.0
73.67567,53.53987,72.5
73.59894,53.463146,72.5
75.054565,54.588676,76.0
74.90555,54.54969,75.5
74.170555,53.594635,73.5
74.12042,53.65453,74.0
73.73407,53.48824,72.5
73.83513,53.479267,72.5
73.11357,52.86774,72.5
73.37238,53.126556,73.0
75.447296,55.091434,76.5
75.56471,54.988792,76.5
74.57533,53.99941,74.5
74.393074,53.927185,74.0
73.21376,53.188,72.5
73.54086,53.405067,73.0
73.631645,53.38582,72.5
73.59703,53.351204,72.0
74.82992,54.47406,75.5
74.72619,54.37033,74.5
74.244896,53.779007,74.5
74.54598,53.970062,75.0
73.91305,53.44716,72.5
73.8958,53.429905,73.0
73.77854,53.422684,73.0
73.948456,53.702633,74.0
75.22162,54.865757,76.0
75.06047,54.704617,75.5
74.31169,53.8458,73.5
74.316444,53.740524,73.5
73.8647,53.618877,73.0
74.13049,53.77464,73.0
73.60422,53.35839,72.5
73.63733,53.391506,72.5
74.731705,54.26582,74.0
74.60954,54.143658,73.5
74.74901,54.173088,75.5
74.75291,54.287018,75.5
73.888626,53.42274,73.5
73.94093,53.475048,73.5
74.05856,53.81274,74.5
74.13743,53.8916,74.5
74.88341,54.52755,75.0
74.83618,54.370293,74.5
74.08103,53.615143,73.0
73.80989,53.454033,72.5
74.00231,53.86652,73.5
74.09172,53.845898,73.5
73.66777,53.421944,72.5
73.61395,53.368126,72.5
74.25903,54.013203,73.0
74.126945,53.88112,72.0
74.84476,54.37887,75.5
74.79693,54.44107,75.5
74.07947,53.613575,74.0
74.25934,53.793446,74.0
74.1376,53.89178,74.5
74.06937,53.823536,74.0
74.70184,54.23596,74.5
74.49884,54.142982,74.0
73.64708,53.291218,71.5
73.353424,52.997562,71.5
74.00299,53.757168,73.5
73.97694,53.62108,73.0
73.49919,53.253365,72.0
73.463425,53.107567,71.5
74.11132,53.755463,72.0
74.11821,53.652317,71.5
74.70303,54.457207,75.0
74.69943,54.45361,75.0
74.33864,53.982784,74.5
74.61294,54.14705,74.5
73.84414,53.708347,73.5
73.581696,53.55593,73.0
74.389145,54.033283,73.5
74.38466,53.91877,73.5
73.124565,52.87874,72.0
73.13957,52.78371,71.5
73.89249,53.426598,72.5
73.66391,53.198017,72.0
73.19893,52.9531,70.5
72.9715,52.725674,70.5
73.94113,53.585274,70.5
73.86353,53.507675,71.0
74.564384,54.42859,74.5
74.51066,54.374866,74.5
74.706635,54.24074,75.5
74.86781,54.401928,76.0
73.44377,53.418007,72.0
73.32227,53.296513,71.5
74.36926,53.79334,73.0
74.23355,53.657627,72.5
72.94133,52.6955,71.0
72.80425,52.558426,71.0
