td_target,nstep_return,run_0
73.1666,53.030807,45.75
73.382324,53.246532,45.5
74.9068,54.44091,46.0
74.803665,54.557842,46.0
73.65452,53.40869,45.75
73.79881,53.44296,45.75
73.4709,53.115044,45.75
73.719055,53.25317,45.75
72.00817,51.872375,45.5
72.15749,52.131733,45.5
74.77521,54.639416,45.75
75.05001,54.804184,45.75
74.5847,54.118813,46.0
74.55531,54.08942,46.0
73.057816,52.811985,46.0
73.26641,53.020584,45.75
73.562,53.4262,45.5
73.70007,53.56428,45.5
74.85571,54.60989,45.75
74.94791,54.592045,45.75
73.82652,53.470665,45.75
73.989685,53.523796,46.0
73.83122,53.365334,46.0
73.80148,53.445625,46.25
72.540535,52.40474,45.5
72.8786,52.63277,45.75
75.24068,54.994854,45.75
75.379425,55.1336,46.0
74.538605,54.07272,46.0
74.500244,54.03435,45.75
73.485985,53.240158,45.75
72.99382,52.96806,45.75
73.67567,53.53987,45.5
73.59894,53.463146,45.75
75.054565,54.588676,45.75
74.90555,54.54969,46.0
74.170555,53.594635,46.25
74.12042,53.65453,46.25
73.73407,53.48824,46.0
73.83513,53.479267,46.0
73.11357,52.86774,45.75
73.37238,53.126556,45.75
75.447296,55.091434,46.0
75.56471,54.988792,46.25
74.57533,53.99941,45.75
74.393074,53.927185,46.0
73.21376,53.188,45.75
73.54086,53.405067,45.75
73.631645,53.38582,45.75
73.59703,53.351204,45.5
74.82992,54.47406,45.75
74.72619,54.37033,45.75
74.244896,53.779007,46.0
74.54598,53.970062,46.0
73.91305,53.44716,46.0
73.8958,53.429905,46.0
73.77854,53.422684,45.75
73.948456,53.702633,46.0
75.22162,54.865757,46.25
75.06047,54.704617,45.75
74.31169,53.8458,45.75
74.316444,53.740524,45.75
73.8647,53.618877,45.75
74.13049,53.77464,46.0
73.60422,53.35839,45.75
73.63733,53.391506,45.75
74.731705,54.26582,45.75
74.60954,54.143658,45.75
74.74901,54.173088,46.25
74.75291,54.287018,46.25
73.888626,53.42274,46.0
73.94093,53.475048,46.25
74.05856,53.81274,46.0
74.13743,53.8916,46.0
74.88341,54.52755,45.5
74.83618,54.370293,46.0
74.08103,53.615143,46.0
73.80989,53.454033,46.0
74.00231,53.86652,45.75
74.09172,53.845898,45.5
73.66777,53.421944,45.75
73.61395,53.368126,45.75
74.25903,54.013203,46.0
74.126945,53.88112,45.75
74.84476,54.37887,46.25
74.79693,54.44107,46.0
74.07947,53.613575,46.0
74.25934,53.793446,46.0
74.1376,53.89178,46.25
74.06937,53.823536,46.0
74.70184,54.23596,46.0
74.49884,54.142982,46.0
73.64708,53.291218,46.0
73.353424,52.997562,45.75
74.00299,53.757168,45.5
73.97694,53.62108,45.75
73.49919,53.253365,45.75
73.463425,53.107567,45.75
74.11132,53.755463,45.75
74.11821,53.652317,45.75
74.70303,54.457207,45.75
74.69943,54.45361,45.5
74.33864,53.982784,46.0
74.61294,54.14705,45.75
73.84414,53.708347,45.75
73.581696,53.55593,45.75
74.389145,54.033283,46.25
74.38466,53.91877,46.0
73.124565,52.87874,45.75
73.13957,52.78371,45.75
73.89249,53.426598,45.75
73.66391,53.198017,46.25
73.19893,52.9531,45.75
72.9715,52.725674,46.0
73.94113,53.585274,46.0
73.86353,53.507675,45.75
74.564384,54.42859,45.5
74.51066,54.374866,45.5
74.706635,54.24074,46.0
74.86781,54.401928,46.0
73.44377,53.418007,45.5
73.32227,53.296513,45.5
74.36926,53.79334,46.0
74.23355,53.657627,46.25
72.94133,52.6955,46.0
72.80425,52.558426,45.75
73.315186,52.959328,46.25
73.09758,52.631687,46.0
72.69629,52.450462,46.0
72.27734,52.14155,45.75
74.03366,53.56777,45.75
73.986885,53.631027,45.75
74.31495,54.28919,45.5
74.20746,54.071663,45.25
75.09108,54.515156,46.0
75.07504,54.60915,46.0
73.188095,53.16233,45.5
73.0505,53.02474,45.5
73.9481,53.48221,46.25
73.60585,53.24999,46.0
73.028206,52.672348,45.75
73.10541,52.74955,45.75
72.787506,52.321617,46.25
72.39697,52.04111,46.25
71.87256,51.846794,45.5
71.613335,51.58757,45.5
74.068146,53.71229,46.0
74.18547,53.829617,46.0
73.98647,53.850677,45.25
73.73123,53.595436,45.5
75.09506,54.62917,45.75
74.88672,54.640896,45.75
72.90394,52.878174,45.5
73.02458,52.888786,45.5
73.4061,53.050236,46.0
73.20795,52.85209,45.75
73.13872,52.782856,45.75
73.161514,52.80566,46.0
72.25185,51.785954,46.25
71.95485,51.598995,46.25
71.70495,51.679188,45.25
71.82998,51.804214,45.25
74.29085,53.934986,46.0
74.401764,54.045906,46.0
73.593704,53.347878,45.5
73.395836,53.260044,45.5
74.91374,54.66792,45.75
74.903915,54.658092,45.5
73.13962,52.893787,45.5
68.574425,48.218567,45.5
73.408806,52.942917,46.0
73.660095,53.084175,46.0
73.08064,52.834816,45.75
73.25003,52.894176,45.5
72.00946,51.6536,46.0
72.09976,51.743908,46.0
71.941734,51.915974,45.25
72.119545,51.98375,45.25
74.42145,54.175625,45.75
70.02435,49.66849,45.75
73.29692,53.161125,45.25
73.2959,53.050076,45.25
74.95404,54.598186,45.75
74.996925,54.531036,45.75
68.107956,47.862125,45.75
67.72885,47.48302,45.5
73.66951,53.203617,46.25
73.905846,53.329926,46.25
73.166115,52.920288,45.75
73.07916,52.94337,45.75
72.22325,51.86739,46.0
72.35301,51.997158,45.75
72.080154,52.054394,45.5
72.18193,52.15617,45.25
69.6141,49.478302,45.5
69.605316,49.249462,45.5
73.07107,52.935276,45.5
73.085434,53.059673,45.0
74.9346,54.468716,46.25
74.77513,54.419277,46.0
