The image processor of type `LlavaNextImageProcessor` is now loaded as a fast processor by default, even if the model checkpoint was saved with a slow processor. This is a breaking change and may produce slightly different outputs. To continue using the slow processor, instantiate this class with `use_fast=False`.
Loading weights: 100%|████████████████| 687/687 [00:03<00:00, 174.32it/s, Materializing param=model.vision_tower.vision_model.pre_layrnorm.weight]
Expanded shard pattern specific to 100 files.
Found 100 shards.
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
train step=50 loss=0.0444
train step=100 loss=0.0495
train step=150 loss=0.0510
train step=200 loss=0.0488
train step=250 loss=0.0480
train step=300 loss=0.0451
train step=350 loss=0.0483
train step=400 loss=0.0507
train step=450 loss=0.0508
train step=500 loss=0.0480
train step=550 loss=0.0453
train step=600 loss=0.0444
train step=650 loss=0.0428
train step=700 loss=0.0444
train step=750 loss=0.0441
train step=800 loss=0.0459
train step=850 loss=0.0446
train step=900 loss=0.0459
train step=950 loss=0.0461
train step=1000 loss=0.0453
train step=1050 loss=0.0460
train step=1100 loss=0.0471
epoch=1 train_loss=0.0468 val_loss=n/a
train step=50 loss=0.0700
train step=100 loss=0.0589
train step=150 loss=0.0512
train step=200 loss=0.0491
train step=250 loss=0.0468
train step=300 loss=0.0429
train step=350 loss=0.0435
train step=400 loss=0.0457
train step=450 loss=0.0484
train step=500 loss=0.0447
train step=550 loss=0.0442
train step=600 loss=0.0435
train step=650 loss=0.0418
train step=700 loss=0.0419
train step=750 loss=0.0416
train step=800 loss=0.0424
train step=850 loss=0.0415
train step=900 loss=0.0438
train step=950 loss=0.0442
train step=1000 loss=0.0434
train step=1050 loss=0.0438
train step=1100 loss=0.0462
epoch=2 train_loss=0.0460 val_loss=n/a
