The image processor of type `LlavaNextImageProcessor` is now loaded as a fast processor by default, even if the model checkpoint was saved with a slow processor. This is a breaking change and may produce slightly different outputs. To continue using the slow processor, instantiate this class with `use_fast=False`.
Loading weights: 100%|█| 687/687 [00:05<00:00, 133.11it/s, Materializing param=model.vision_tower.vision_model.pre_layrnorm.wei
Expanded shard pattern specific to 100 files.
Found 100 shards.
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
train step=50 loss=0.4036
train step=100 loss=0.4123
epoch=1 train_loss=0.4147 val_loss=n/a
train step=50 loss=0.3850
train step=100 loss=0.4002
epoch=2 train_loss=0.4065 val_loss=n/a
train step=50 loss=0.3755
train step=100 loss=0.3863
epoch=3 train_loss=0.3869 val_loss=n/a
train step=50 loss=0.3276
train step=100 loss=0.3577
epoch=4 train_loss=0.3797 val_loss=n/a
train step=50 loss=0.3887
train step=100 loss=0.3890
epoch=5 train_loss=0.3962 val_loss=n/a
train step=50 loss=0.3797
train step=100 loss=0.3875
epoch=6 train_loss=0.3921 val_loss=n/a
train step=50 loss=0.3492
train step=100 loss=0.3674
epoch=7 train_loss=0.3708 val_loss=n/a
train step=50 loss=0.3334
train step=100 loss=0.3508
epoch=8 train_loss=0.3685 val_loss=n/a
train step=50 loss=0.3975
