The image processor of type `LlavaNextImageProcessor` is now loaded as a fast processor by default, even if the model checkpoint was saved with a slow processor. This is a breaking change and may produce slightly different outputs. To continue using the slow processor, instantiate this class with `use_fast=False`.
Loading weights: 100%|██████████| 687/687 [00:23<00:00, 28.91it/s, Materializing param=model.vision_tower.vision_model.pre_layrnorm.weight]                         
Expanding shard directory: /scratch/aparame/Research/VLCM_Data_Collection/data_scratch
Found 557 shards.
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
train step=50 loss=0.3905
train step=100 loss=0.4387
train step=150 loss=0.4031
train step=200 loss=0.3628
train step=250 loss=0.3552
train step=300 loss=0.3373
train step=350 loss=0.3411
train step=400 loss=0.3575
train step=450 loss=0.3571
train step=500 loss=0.3671
train step=550 loss=0.3752
train step=600 loss=0.3883
train step=650 loss=0.3858
train step=700 loss=0.3934
train step=750 loss=0.4023
train step=800 loss=0.4113
train step=850 loss=0.4043
train step=900 loss=0.4041
train step=950 loss=0.4041
train step=1000 loss=0.4022
train step=1050 loss=0.4061
train step=1100 loss=0.4024
train step=1150 loss=0.3957
train step=1200 loss=0.3924
train step=1250 loss=0.3917
epoch=1 train_loss=0.3889 val_loss=n/a
train step=50 loss=0.3064
train step=100 loss=0.3233
train step=150 loss=0.3453
train step=200 loss=0.3693
train step=250 loss=0.3708
train step=300 loss=0.3715
train step=350 loss=0.3756
train step=400 loss=0.3804
train step=450 loss=0.3755
train step=500 loss=0.3615
train step=550 loss=0.3571
train step=600 loss=0.3519
train step=650 loss=0.3599
train step=700 loss=0.3619
train step=750 loss=0.3682
train step=800 loss=0.3751
train step=850 loss=0.3822
train step=900 loss=0.3845
train step=950 loss=0.3881
train step=1000 loss=0.3976
train step=1050 loss=0.3968
train step=1100 loss=0.3951
train step=1150 loss=0.3918
train step=1200 loss=0.3909
train step=1250 loss=0.3893
epoch=2 train_loss=0.3884 val_loss=n/a
train step=50 loss=0.3706
train step=100 loss=0.3167
train step=150 loss=0.2929
train step=200 loss=0.3222
train step=250 loss=0.3560
train step=300 loss=0.3678
train step=350 loss=0.3850
train step=400 loss=0.3902
train step=450 loss=0.3792
train step=500 loss=0.3691
train step=550 loss=0.3759
train step=600 loss=0.3818
train step=650 loss=0.3842
train step=700 loss=0.3768
train step=750 loss=0.3872
train step=800 loss=0.3892
train step=850 loss=0.3847
train step=900 loss=0.3845
train step=950 loss=0.3923
train step=1000 loss=0.3953
train step=1050 loss=0.3989
train step=1100 loss=0.4024
train step=1150 loss=0.4011
train step=1200 loss=0.3983
train step=1250 loss=0.4049
epoch=3 train_loss=0.4042 val_loss=n/a
train step=50 loss=0.2937
train step=100 loss=0.3511
train step=150 loss=0.3315
train step=200 loss=0.3499
train step=250 loss=0.3624
train step=300 loss=0.3632
train step=350 loss=0.3713
train step=400 loss=0.3638
train step=450 loss=0.3717
train step=500 loss=0.3731
train step=550 loss=0.3712
train step=600 loss=0.3779
train step=650 loss=0.3819
train step=700 loss=0.3892
train step=750 loss=0.3973
train step=800 loss=0.4027
train step=850 loss=0.4066
train step=900 loss=0.4071
train step=950 loss=0.4102
train step=1000 loss=0.4092
train step=1050 loss=0.4118
train step=1100 loss=0.4070
train step=1150 loss=0.3998
train step=1200 loss=0.4036
