The image processor of type `LlavaNextImageProcessor` is now loaded as a fast processor by default, even if the model checkpoint was saved with a slow processor. This is a breaking change and may produce slightly different outputs. To continue using the slow processor, instantiate this class with `use_fast=False`.
Loading weights: 100%|██████████| 687/687 [00:02<00:00, 263.85it/s, Materializing param=model.vision_tower.vision_model.pre_layrnorm.weight]                        
Expanding shard directory: /scratch/aparame/Research/VLCM_Data_Collection/data_scratch
Found 557 shards.
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
train step=50 loss=0.4109
train step=100 loss=0.4510
train step=150 loss=0.4349
train step=200 loss=0.4451
train step=250 loss=0.4281
train step=300 loss=0.4417
train step=350 loss=0.4453
train step=400 loss=0.4354
train step=450 loss=0.4208
train step=500 loss=0.4120
train step=550 loss=0.4179
train step=600 loss=0.4091
train step=650 loss=0.4022
train step=700 loss=0.3904
train step=750 loss=0.3957
train step=800 loss=0.4036
train step=850 loss=0.4015
train step=900 loss=0.4000
train step=950 loss=0.3979
train step=1000 loss=0.4031
train step=1050 loss=0.3971
train step=1100 loss=0.4011
train step=1150 loss=0.4052
train step=1200 loss=0.4035
train step=1250 loss=0.4001
epoch=1 train_loss=0.3995 val_loss=n/a
train step=50 loss=0.3523
train step=100 loss=0.3237
train step=150 loss=0.3687
train step=200 loss=0.3516
train step=250 loss=0.3515
train step=300 loss=0.3661
train step=350 loss=0.3721
train step=400 loss=0.3737
train step=450 loss=0.3745
train step=500 loss=0.3682
train step=550 loss=0.3799
train step=600 loss=0.3926
train step=650 loss=0.3884
train step=700 loss=0.3817
train step=750 loss=0.3863
train step=800 loss=0.3896
train step=850 loss=0.3949
train step=900 loss=0.3997
train step=950 loss=0.4037
train step=1000 loss=0.4018
train step=1050 loss=0.4033
train step=1100 loss=0.3998
train step=1150 loss=0.4062
train step=1200 loss=0.4083
train step=1250 loss=0.4027
epoch=2 train_loss=0.4008 val_loss=n/a
train step=50 loss=0.4486
train step=100 loss=0.4058
train step=150 loss=0.4009
train step=200 loss=0.4357
train step=250 loss=0.4156
train step=300 loss=0.4266
train step=350 loss=0.4362
train step=400 loss=0.4370
train step=450 loss=0.4397
train step=500 loss=0.4300
train step=550 loss=0.4233
train step=600 loss=0.4202
train step=650 loss=0.4167
train step=700 loss=0.4190
train step=750 loss=0.4146
train step=800 loss=0.4122
train step=850 loss=0.4088
train step=900 loss=0.4015
train step=950 loss=0.3979
train step=1000 loss=0.3958
train step=1050 loss=0.4006
train step=1100 loss=0.4000
train step=1150 loss=0.4024
train step=1200 loss=0.4037
train step=1250 loss=0.4043
epoch=3 train_loss=0.4050 val_loss=n/a
train step=50 loss=0.3375
train step=100 loss=0.3816
train step=150 loss=0.3649
train step=200 loss=0.3661
train step=250 loss=0.3682
train step=300 loss=0.3668
train step=350 loss=0.3772
train step=400 loss=0.3927
train step=450 loss=0.3889
train step=500 loss=0.3897
train step=550 loss=0.4054
train step=600 loss=0.4088
train step=650 loss=0.4052
train step=700 loss=0.4028
train step=750 loss=0.4042
train step=800 loss=0.3957
