The image processor of type `LlavaNextImageProcessor` is now loaded as a fast processor by default, even if the model checkpoint was saved with a slow processor. This is a breaking change and may produce slightly different outputs. To continue using the slow processor, instantiate this class with `use_fast=False`.
Loading weights: 100%|██████████| 687/687 [00:02<00:00, 256.68it/s, Materializing param=model.vision_tower.vision_model.pre_layrnorm.weight]                         
Expanding shard directory: /scratch/aparame/Research/VLCM_Data_Collection/data_scratch
Found 557 shards.
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
train step=50 loss=0.3362
train step=100 loss=0.3660
train step=150 loss=0.3465
train step=200 loss=0.3239
train step=250 loss=0.3363
train step=300 loss=0.3311
train step=350 loss=0.3489
train step=400 loss=0.3588
train step=450 loss=0.3756
train step=500 loss=0.3740
train step=550 loss=0.3781
train step=600 loss=0.3822
train step=650 loss=0.3839
train step=700 loss=0.3837
train step=750 loss=0.3818
train step=800 loss=0.3868
train step=850 loss=0.3943
train step=900 loss=0.3962
train step=950 loss=0.3951
train step=1000 loss=0.3946
train step=1050 loss=0.3949
train step=1100 loss=0.3940
train step=1150 loss=0.3950
train step=1200 loss=0.3910
train step=1250 loss=0.3916
epoch=1 train_loss=0.3927 val_loss=n/a
train step=50 loss=0.4270
train step=100 loss=0.4093
train step=150 loss=0.3930
train step=200 loss=0.4219
train step=250 loss=0.4091
train step=300 loss=0.4177
train step=350 loss=0.4241
train step=400 loss=0.4172
train step=450 loss=0.4027
train step=500 loss=0.3959
train step=550 loss=0.3915
train step=600 loss=0.3778
train step=650 loss=0.3767
train step=700 loss=0.3837
train step=750 loss=0.3932
train step=800 loss=0.3976
train step=850 loss=0.3987
train step=900 loss=0.4033
train step=950 loss=0.4077
train step=1000 loss=0.4072
train step=1050 loss=0.4037
train step=1100 loss=0.3991
train step=1150 loss=0.3974
train step=1200 loss=0.4033
train step=1250 loss=0.3978
epoch=2 train_loss=0.3995 val_loss=n/a
train step=50 loss=0.3047
train step=100 loss=0.3560
train step=150 loss=0.4037
train step=200 loss=0.3776
